AdviceType__c,AdviceType__r.DeveloperName__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_SET_UP,a1QSl000001B5AIMA0,Top up | Set up,Prepare advice,1,true,Setup,ADVICE_TOP_UP_SET_UP
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_PREPARE,a1QSl000001B5AJMA0,Top up | Prepare,Present advice,5,true,Prepare advice,ADVICE_TOP_UP_ASSIGN
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_PRESENT,a1QSl000001B5AKMA0,Top up | Present,Await decision,1,true,Present advice,
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_AWAIT_DECISION,a1QSl000001B5ALMA0,Top up | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_COMPLETE,a1QSl000001B5AMMA0,Top up | Complete,,,false,Complete,
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_DECLINED,a1QSl000001B5ANMA0,Top up | Suitability Declined,,,false,Suitability declined,
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_CANCELLED,a1QSl000001B5AOMA0,Top up | Cancelled,,,false,Cancelled,
a1RSl0000003AqrMAE,TOP_UP,ADVICE_TOP_UP_FULFILMENT,a1QSl000001B5APMA0,Top up | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_PRESENT,a1QSl000001LwbVMAS,Withdrawal | Present,Await decision,1,true,Present advice,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_SET_UP,a1QSl000001LwbWMAS,Withdrawal | Set up,Prepare advice,1,true,Setup,ADVICE_WITHDRAWAL_SET_UP
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_PREPARE,a1QSl000001LwbXMAS,Withdrawal | Prepare,Present advice,5,true,Prepare advice,ADVICE_WITHDRAWAL_ASSIGN
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_AWAIT_DECISION,a1QSl000001LwbYMAS,Withdrawal | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_FULFILMENT,a1QSl000001LwbZMAS,Withdrawal | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_COMPLETE,a1QSl000001LwbaMAC,Withdrawal | Complete,,,false,Complete,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_DECLINED,a1QSl000001LwbbMAC,Withdrawal | Suitability Declined,,,false,Suitability declined,
a1RSl0000003Ar0MAE,WITHDRAWAL,ADVICE_WITHDRAWAL_CANCELLED,a1QSl000001LwbcMAC,Withdrawal | Cancelled,,,false,Cancelled,
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_SET_UP,a1QSl000001LwbdMAC,Regular amendment | Set up,In fulfilment,1,true,Setup,ADVICE_REGULAR_AMENDMENT_ASSIGN
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_FULFILMENT,a1QSl000001LwbeMAC,Regular amendment | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_COMPLETE,a1QSl000001LwbfMAC,Regular amendment | Complete,,,false,Complete,
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_DECLINED,a1QSl000001LwbgMAC,Regular amendment | Suitability Declined,,,false,Suitability declined,
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CANCELLED,a1QSl000001LwbhMAC,Regular amendment | Cancelled,,,false,Cancelled,
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_PREPARE_ADVICE,a1QSl000001LwbiMAC,Regular amendment | Prepare advice,Await decision,1,true,Prepare advice,ADVICE_REGULAR_AMENDMENT_ASSIGN
a1RSl0000003Ar2MAE,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_AWAIT_DECISION,a1QSl000001LwbjMAC,Regular amendment | Await decision,In fulfilment,1,true,Await decision,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_PRESENT,a1QSl000002rZ1hMAE,Protection | Present,Await decision,1,true,Present advice,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_SET_UP,a1QSl000002rZ1iMAE,Protection | Set up,Prepare advice,1,true,Setup,ADVICE_PROTECTION_SET_UP
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_PREPARE,a1QSl000002rZ1jMAE,Protection | Prepare,Present advice,5,true,Prepare advice,ADVICE_PROTECTION_ASSIGN
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_AWAIT_DECISION,a1QSl000002rZ1kMAE,Protection | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_FULFILMENT,a1QSl000002rZ1lMAE,Protection | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_COMPLETE,a1QSl000002rZ1mMAE,Protection | Complete,,,false,Complete,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_DECLINED,a1QSl000002rZ1nMAE,Protection | Suitability Declined,,,false,Suitability declined,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_CANCELLED,a1QSl000002rZ1oMAE,Protection | Cancelled,,,false,Cancelled,
a1RSl0000003AqxMAE,PROTECTION,ADVICE_PROTECTION_DATA_GATHERING,a1QSl000002rZ1pMAE,Protection | Data gathering,Prepare advice,5,true,Data gathering,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_SET_UP,a1QSl000002vCHpMAM,Annual Review | Accumulation | Set up,Prepare advice,1,true,Setup,ADVICE_ANNUAL_REVIEW_SET_UP
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_GATHERING,a1QSl000002vCHqMAM,Annual Review | Accumulation | Data gathering,Data analysis,5,true,Data gathering,ADVICE_ANNUAL_REVIEW_DATA_GATHERING
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,a1QSl000002vCHrMAM,Annual Review | Accumulation | Prepare,Present advice,5,true,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,a1QSl000002vCHsMAM,Annual Review | Accumulation | Present,Await decision,1,true,Present advice,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_AWAIT_DECISION,a1QSl000002vCHtMAM,Annual Review | Accumulation | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_FULFILMENT,a1QSl000002vCHuMAM,Annual Review | Accumulation | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_COMPLETE,a1QSl000002vCHvMAM,Annual Review | Accumulation | Complete,,,false,Complete,
