AwaitReply__c,ClientsAddressed__c,CopyOtherClients__c,CustomPermission__c,Description__c,DeveloperName__c,From__c,Id,Name,Necessity__c,PartnerCopied__c,SendingProcess__c,Subject__c,Type__c
,All,,EmailOperations,Sent to clients fortnightly to summarise progress of fulfilment,NovaWealthFulfilmentUpdateRegular,team@novawm.com,a1VQz000003vbnVMAQ,Fulfilment Update Email Regular,Optional,Always,,,Service
,All,,EmailOperations,Sent to clients when fulfilment has been completed,NovaWealthFulfilmentUpdateFinal,team@novawm.com,a1VQz000003vbnWMAQ,Fulfilment Update Email Final,Optional,Always,,,Service
,All,,EmailOperations,Sent to clients when data gathering has been completed,NovaWealthLoaUpdateFinal,team@novawm.com,a1VQz000003vbnXMAQ,LOA Update Email Final,Optional,Always,,,Service
,All,,EmailOperations,Sent fortnightly to clients to keep them updated on the progress of data gathering,NovaWealthLoaUpdateRegular,team@novawm.com,a1VQz000003vbnYMAQ,LOA Update Email Regular,Optional,Always,,,Service
,All,,EmailOperations,The next steps email that is sent to clients after they accept our advice.,NovaWealthFulfilmentNextSteps,team@novawm.com,a1VQz000003vbnZMAQ,Next Steps,Required,Always,,,Service
,All,,EmailOperations,Sent to customers getting access to their onboarding advice documents via the portal for the 1st time.,PortalDocumentsAdviceOnboarding,amy@novawm.com,a1VQz000003vbnaMAA,Portal Documents | Advice | Onboarding,Required,Always,,,Service
,All,,EmailOperations,Sent to customers when new document added with no client action required.,PortalDocumentsNewDocumentNoAction,amy@novawm.com,a1VQz000003vbnbMAA,Portal Documents | New document | No action,Required,Always,,,Service
,All,,EmailOperations,Sent to customers when new documents added as part of any advice after onboarding.,PortalDocumentsAdviceFollowOn,amy@novawm.com,a1VQz000003vbncMAA,Portal Documents | Advice | Follow on,Required,Always,,,Service
,All,,EmailOperations,Sent to customers who are getting migrated to portal documents as part of receiving advice.,PortalDocumentsMigratedAdvice,amy@novawm.com,a1VQz000003vbndMAA,Portal Documents | Migrated | Advice,Required,Always,,,Service
,All,,EmailOperations,Sent to customers who are being migrated to portal docs ad-hoc.,PortalDocumentsMigratedAdHoc,amy@novawm.com,a1VQz000003vbneMAA,Portal Documents | Migrated | Ad-hoc,Required,Always,,,Service
No reply expected,All,,EmailOperations,,PreSendFFForPreAnnualReviewUpdate,amy@novawm.com,a1VQz000003vbnfMAA,Send FF for pre-annual review update,Required,Always,,,Service
No reply expected,All,,EmailOperations,,FFUpdatedThankYou,amy@novawm.com,a1VQz000003vbngMAA,FF updated thank you,Required,Always,,,Service
No reply expected,All,,EmailOperations,,ProviderComplaintOnBehalfOfClient,amy@novawm.com,a1VQz000003vbnhMAA,Provider complaint on behalf of client,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,UpdatePensionDetails,amy@novawm.com,a1VQz000003vbniMAA,Update pension details,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,CancelExistingDirectDebits,amy@novawm.com,a1VQz000003vbnjMAA,Cancel existing direct debits,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ClientWithdrawalConfirmationRequest,amy@novawm.com,a1VQz000003vbnkMAA,Client withdrawal confirmation request,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ConfirmationOfBedISA,amy@novawm.com,a1VQz000003vbnlMAA,Confirmation of Bed & ISA,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,RequestEmployerBankDetails,amy@novawm.com,a1VQz000003vbnmMAA,Request employer bank details,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,NewIsaGiaOffshoreBondSetUp,amy@novawm.com,a1VQz000003vbnnMAA,New ISA/GIA/Offshore Bond set up,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,PensionTransferComplete,amy@novawm.com,a1VQz000003vbnoMAA,Pension transfer complete,Optional,Always,,,Service
