AdviceDeckDescription__c,AgeApplies__c,AppliesToPerson__c,AskToDisplayOnLifeline__c,AsktodisplayonTimeline__c,ConsiderFinancialImpact__c,Description__c,DeveloperName__c,FactCategory__c,FactCategory__r.DeveloperName__c,HasAmount__c,HasDate__c,Id,Name,NotesRequired__c,NovaId__c,PostCreateInstructions__c,Status__c,Transient__c,VulnerabilityCategory__c
,No,Yes,No,,No,"This person is demonstrating a pattern of financial behaviour that is inconsistent with previous patterns of financial decision making made in earlier years, and places this person at risk of financial exploitation resulting in a loss of resources",AGE_RELATED_FINANCIAL_VULNERABILITY,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NScXMAW,Age Related Financial Vulnerability,Yes,a1E8e0000004Ia9EAE,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks.",Active,,Capability
,Yes,No,Yes,,No,Add this fact if we want to model an increase in spending and the age we would like to apply it.,INCREASE_IN_SPENDING,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NScYMAW,Increase in spending,Yes,a1E8e0000004JuoEAE,,Active,,
,Optional,No,No,,No,Any secondary objectives to achieve if the customer can afford to,SECONDARY_OBJECTIVES,a1DQz000003S8DzMAK,OBJECTIVE,Optional,Optional,a1EQz000001NScZMAW,Secondary objectives,Yes,a1E8e0000004JutEAE,,Active,,
,No,Yes,No,,No,Vulnerability	Add if this person is vulnerable as a result of someone close to them going through an illness we should be aware of,FAMILY_ILLNESS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NScaMAG,Family illness,Yes,a1E8e0000004JuyEAE,,Active,,Life events
,No,Yes,No,,No,"Use this fact to record any health-related information that we need to be aware of, but does not impact a person's vulnerability and should not be included in their profile",HEALTH,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScbMAG,Health,Yes,a1E8e0000004KPlEAM,,Active,,
,No,No,No,,Yes,"Only available to Planners and Partners. To capture the estimate of cash accumulation expectations, and make sure the client is still on track with their saving/expenditure. Amount should match the figure on saving/spending slide of the deck.",EXPECTED_SAVINGS,a1DQz000003S8DsMAK,PERSONAL_FINANCES,Yes,No,a1EQz000001NSccMAG,Expected savings/cash,Yes,,,Active,,
,No,No,No,,No,"Why did we choose a particular risk profile, and are there specific expectations that this will evolve?",RISK_PROFILE_REASONS,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NScdMAG,Risk profile reasons,Yes,a1E8e000000L0U0EAK,,Active,,
,No,Yes,No,,No,"Is the client subject to any trading restrictions? For example, does their employer need to pre-authorise all trades?",TRADING_RESTRICTION,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSceMAG,Trading restriction,Yes,a1E8e000000L0U1EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed",Active,,
,No,No,No,,No,"Does the client have views on which products they are invested in? For example, do they prefer to avoid pensions?

Please add a fact per product preference.",PRODUCT,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NScfMAG,Product,Yes,a1E8e000000L0U2EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed",Active,,
,Yes,Yes,Yes,,No,Add the age by which the customer aspires to be financially independent.,FINANCIAL_INDEPENDENCE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NScgMAG,Financial independence,Yes,a1E8e000000L0U3EAK,,Active,,
