DefaultAmount__c,DefaultOverrideable__c,Description__c,DeveloperName__c,Discountable__c,Duration__c,Format__c,Id,Maximum__c,Minimum__c,Name,NovaId__c,Product__c,Product__r.ReferenceName__c,ProductRecordType__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RevenueDueTo__c,RevenueDueTo__r.Name
2000,true,,REF_4,false,One-off,Fixed amount,a2VQz000001pgJBMAY,10000,0,Initial advice fee,a2V8e000000c3O2EAI,,,,,,,
,false,,REF_15,false,Ongoing,Percentage,a2VQz000001pgJCMAY,,,Ongoing advice fee,a2V8e000000c3O7EAI,,,,,,,
0.5,false,,REF_17,false,Ongoing,Percentage,a2VQz000001pgJDMAY,,,Titan ongoing fee,,a2YQz000000sEShMAM,VCT_TITAN_OI,,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
2.5,false,,REF_5,false,One-off,Percentage,a2VQz000001pgJEMAY,,,Knowledge intensive initial fee,,a2YQz000000sESiMAM,KI_OI_EIS,,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
0.5,false,,REF_2,false,Ongoing,Percentage,a2VQz000001pgJFMAY,,,Apollo ongoing fee,,a2YQz000000sESgMAM,VCT_APOLLO_OI,,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
2.5,false,,REF_3,false,One-off,Percentage,a2VQz000001pgJGMAY,,,Future generation initial fee,,a2YQz000000sESkMAM,FG_OI_VCT,,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
0.5,false,The ongoing fee paid to NOVA as a result of the lump sum to the AIM VCT,REF_1,false,Ongoing,Percentage,a2VQz000001pgJHMAY,,,AIM ongoing fee,,a2YQz000000sESjMAM,AIM_OI_VCT,,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
0.95,true,The ongoing fee paid to NOVA as a result of the GIA,REF_16,false,Ongoing,Percentage,a2VQz000001pgJIMAY,0.95,0.01,Ongoing advice fee,,a2YQz000000sESfMAM,GIA_HUBWISE,0121t0000001ePeA,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
0.95,true,The ongoing fee paid to NOVA as a result of the Junior SIPP,REF_14,false,Ongoing,Percentage,a2VQz000001pgJJMAY,0.95,0.01,Ongoing advice fee,,a2YQz000000sESbMAM,JSIPP_HUBWISE,0124J000000d1BjQ,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
3,false,Initial fee paid to Octopus Investments as a result of the lump sum to the Titan VCT,REF_6,true,One-off,Percentage,a2VQz000001pgJKMAY,3,0,Octopus Investments initial fee,,a2YQz000000sEShMAM,VCT_TITAN_OI,0121t0000001eO9AAI,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQUIA0,Octopus Investments
