DeveloperName__c,FulfilmentType__c,FulfilmentType__r.ReferenceName__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
CANCEL_REGULAR_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsAIAW,CANCEL_REGULAR_GIA,,a2gQz000000tIdpIAE,Awaiting ad hoc action Cancel regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsBIAW,CANCEL_REGULAR_ISA,,a2gQz000000tIdqIAE,Awaiting ad hoc action Cancel regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAsEIAW,CANCEL_REGULAR_SIPP,,a2gQz000000tIdrIAE,Awaiting ad hoc action Cancel regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsFIAW,CHANGE_TO_REGULAR_GIA,,a2gQz000000tIdsIAE,Awaiting ad hoc action Change to regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsGIAW,CHANGE_TO_REGULAR_ISA,,a2gQz000000tIdtIAE,Awaiting ad hoc action Change to regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAsJIAW,CHANGE_TO_REGULAR_SIPP,,a2gQz000000tIduIAE,Awaiting ad hoc action Change to regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
EXTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArcIAG,EXTERNAL_TRANSFER_ISA,,a2gQz000000tIdvIAE,Awaiting ad hoc action External transfer ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
EXTERNAL_TRANSFER_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UArfIAG,EXTERNAL_TRANSFER_SIPP,,a2gQz000000tIdwIAE,Awaiting ad hoc action External transfer SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UArgIAG,INTERNAL_TRANSFER_GIA,,a2gQz000000tIdxIAE,Awaiting ad hoc action Internal transfer GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArhIAG,INTERNAL_TRANSFER_ISA,,a2gQz000000tIdyIAE,Awaiting ad hoc action Internal transfer ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UArkIAG,INTERNAL_TRANSFER_SIPP,,a2gQz000000tIdzIAE,Awaiting ad hoc action Internal transfer SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
LUMP_SUM_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UArlIAG,LUMP_SUM_GIA,,a2gQz000000tIe0IAE,Awaiting ad hoc action Lump sum GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
LUMP_SUM_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArmIAG,LUMP_SUM_ISA,,a2gQz000000tIe1IAE,Awaiting ad hoc action Lump sum ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
LUMP_SUM_JUNIOR_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArnIAG,LUMP_SUM_JUNIOR_ISA,,a2gQz000000tIe2IAE,Awaiting ad hoc action Lump sum Junior ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
LUMP_SUM_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UArpIAG,LUMP_SUM_SIPP,,a2gQz000000tIe3IAE,Awaiting ad hoc action Lump sum SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REBALANCE_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UArvIAG,REBALANCE_GIA,,a2gQz000000tIe4IAE,Awaiting ad hoc action Rebalance GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REBALANCE_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArwIAG,REBALANCE_ISA,,a2gQz000000tIe5IAE,Awaiting ad hoc action Rebalance ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REBALANCE_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UArzIAG,REBALANCE_SIPP,,a2gQz000000tIe6IAE,Awaiting ad hoc action Rebalance SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UAs0IAG,REGULAR_GIA,,a2gQz000000tIe7IAE,Awaiting ad hoc action Regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAs1IAG,REGULAR_ISA,,a2gQz000000tIe8IAE,Awaiting ad hoc action Regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAs4IAG,REGULAR_SIPP,,a2gQz000000tIe9IAE,Awaiting ad hoc action Regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_GIA_AWAITING_AD_HOC_ACTION,a2hQz000000UAs5IAG,SWITCH_GIA,,a2gQz000000tIeAIAU,Awaiting ad hoc action Switch GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAs6IAG,SWITCH_ISA,,a2gQz000000tIeBIAU,Awaiting ad hoc action Switch ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAs9IAG,SWITCH_SIPP,,a2gQz000000tIeCIAU,Awaiting ad hoc action Switch SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_GIA_AWAIT_FIRST_REGULAR,a2hQz000000UAsAIAW,CANCEL_REGULAR_GIA,,a2gQz000000tIeDIAU,Await first regular Cancel regular GIA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAsBIAW,CANCEL_REGULAR_ISA,,a2gQz000000tIeEIAU,Await first regular Cancel regular ISA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
