AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UArZIAW,Employer Lump sum SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,EMPLOYER_LUMP_SUM_SIPP,Not required,Employer lump sum to your NOVA SIPP
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UAraIAG,Employer Regular SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,EMPLOYER_REGULAR_SIPP,Not required,Employer regular to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2hQz000000UArbIAG,External transfer GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwyIAA,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_GIA,Required,{cedingprovider} GIA transfer
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2hQz000000UArcIAG,External transfer ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwyIAA,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_ISA,Required,{cedingprovider} ISA transfer
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2hQz000000UArdIAG,External transfer Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwyIAA,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_JUNIOR_ISA,Required,{cedingprovider} Junior ISA transfer
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,false,Not required,false,a2hQz000000UAreIAG,External transfer Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwyIAA,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_JUNIOR_SIPP,Required,{cedingprovider} Junior SIPP transfer
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UArfIAG,External transfer SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwyIAA,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_SIPP,Required,{cedingprovider} pension transfer
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2hQz000000UArgIAG,Internal transfer GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwuIAA,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_GIA,Not required,Internal transfer to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2hQz000000UArhIAG,Internal transfer ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwuIAA,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2hQz000000UAriIAG,Internal transfer Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwuIAA,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_JUNIOR_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,false,Not required,false,a2hQz000000UArjIAG,Internal transfer Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwuIAA,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_JUNIOR_SIPP,Not required,Internal transfer from your NOVA GIA  to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UArkIAG,Internal transfer SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwuIAA,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_SIPP,Not required,Internal transfer from your NOVA GIA  to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2hQz000000UArlIAG,Lump sum GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_GIA,Not required,Lump sum to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2hQz000000UArmIAG,Lump sum ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_ISA,Not required,Lump sum to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2hQz000000UArnIAG,Lump sum Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_JUNIOR_ISA,Not required,Lump sum to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,false,Not required,false,a2hQz000000UAroIAG,Lump sum Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_JUNIOR_SIPP,Not required,Lump sum to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UArpIAG,Lump sum SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_SIPP,Not required,Lump sum to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,true,Not required,false,a2hQz000000UArqIAG,Open product GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_GIA,Not required,
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,true,Not required,false,a2hQz000000UArrIAG,Open product ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_ISA,Not required,
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,true,Not required,false,a2hQz000000UArsIAG,Open product Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_JUNIOR_ISA,Not required,
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,true,Not required,false,a2hQz000000UArtIAG,Open product Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_JUNIOR_SIPP,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,true,Required,false,a2hQz000000UAruIAG,Open product SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_SIPP,Not required,
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,true,Not required,false,a2hQz000000UArvIAG,Rebalance GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwrIAA,REBALANCE,,REBALANCE_GIA,Not required,Rebalance to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,true,Not required,false,a2hQz000000UArwIAG,Rebalance ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwrIAA,REBALANCE,,REBALANCE_ISA,Not required,Rebalance to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,true,Not required,false,a2hQz000000UArxIAG,Rebalance Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwrIAA,REBALANCE,,REBALANCE_JUNIOR_ISA,Not required,Rebalance to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,true,Not required,false,a2hQz000000UAryIAG,Rebalance Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwrIAA,REBALANCE,,REBALANCE_JUNIOR_SIPP,Not required,Rebalance to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,true,Not required,false,a2hQz000000UArzIAG,Rebalance SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwrIAA,REBALANCE,,REBALANCE_SIPP,Not required,Rebalance to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2hQz000000UAs0IAG,Regular GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,REGULAR_GIA,Not required,Regular to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2hQz000000UAs1IAG,Regular ISA,a2YQz000000sESdMAM,SSISA_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,REGULAR_ISA,Not required,Regular to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2hQz000000UAs2IAG,Regular Junior ISA,a2YQz000000sESeMAM,JISA_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,REGULAR_JUNIOR_ISA,Not required,Regular to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,false,Not required,false,a2hQz000000UAs3IAG,Regular Junior SIPP,a2YQz000000sESbMAM,JSIPP_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,REGULAR_JUNIOR_SIPP,Not required,Regular to your NOVA Junior SIP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2hQz000000UAs4IAG,Regular SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwzIAA,REGULAR,,REGULAR_SIPP,Not required,Regular to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,true,Not required,false,a2hQz000000UAs5IAG,Switch GIA,a2YQz000000sESfMAM,GIA_HUBWISE,a24Qz0000052dwsIAA,PORTFOLIO_SWITCH,,SWITCH_GIA,Not required,Portfolio switch for your NOVA GIA
