Id,Name,NovaId__c,OrchestrationControlled__c,OW_assigned_to__c,OW_due_date__c,OW_due_date_offset__c,OW_location__c,OW_priority__c,OW_process_variant__c,OW_queue__c,OW_record_type_developer_name__c,OW_requires_4eye__c,OW_sequence__c,OW_stage__c,OW_status__c,OW_subject__c,OW_task_credit__c,OW_task_description__c,OW_task_description_google_doc_link__c,OW_task_type__c,OW_team__c,OW_triggered_by__c,OW_triggers__c,OW_turnaround_time__c,Role__c,Task_Record_Type__c,TriggeredByTask__c,TriggeredByTask__r.OW_task_type__c
a1JQz00000HP1y7MAD,Chase scope of advice,a1J1t000000CCbzEAG,,Partner,Immediately,5,,Medium,New customer,,Chase_new_scope_of_advice,No,,Discovery,Active,Chase scope of advice,,"<p>First, you&#39;ll need to chase the client to accept the scope of advice.</p><p><br></p><p>When Scope has been accepted, update:</p><ul><li>Scope of Advice status - change to accepted</li><li>Date scope of advice accepted</li><li>The medium of scope acceptance - in meeting/ over the phone/ email.</li><li>SEND TERMS OF BUSINESS to both client and partner.</li></ul><p>Once these are all done, you can complete the task.</p>",https://docs.google.com/document/d/1bZDHPHdZOr8Jzinwwu1f8QQdq_lManKmCTfocsV6k2c/edit,chase_scope_of_advice,Partners,Send scope of advice task being completed.,,2,,Chase Scope of Advice,a1JQz00000HP1ypMAD,send_scope_of_advice
a1JQz00000HP1y8MAD,Discovery Meeting Washup,a1J1t000000CCczEAG,,,,,,,,,Discovery_Meeting_Washup,,,,Inactive,,,"<p><span style=""color: rgb(0, 0, 0);"">This task is triggered by the Discovery meeting</span></p><p><span style=""color: rgb(0, 0, 0);"">This task will trigger: N/A </span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Purpose of the task: To complete any Discovery meeting actions, and prepare for the suitability advice meeting.</span></p><p><br></p><ul><li><span style=""color: rgb(0, 0, 0);"">Add all the members of the client&#39;s family if not already in the Salesforce -Create a personal account for their partner and any children. Ensure that the household is set to &#39;roll up&#39; tasks (as on the print screen below), and that the primary member is recorded correctly. </span></li></ul><p><img src=""/img/rte_broken_image.png"" alt=""This image is not available because: You don’t have the privileges to see it, or it has been removed from the system""></img></p><ul><li>Remember to update the adviser!! This will automatically be in your name for people that you set up, so you will need to change it to the correct person.</li><li>Update the account name in the format - <b>OWREF Surname, Initial &amp; Initial.</b> For example - OW111 Gibbons, J &amp; S. If they are not married or have different surnames use the format: <b>OWREF Surname, initial &amp; surname, initial.</b> For example - OW111 Gibbons, J &amp; Cockwell, S.</li><li><span style=""color: rgb(0, 0, 0);"">Three questions - If the adviser has asked the client the &#39;Three questions&#39; then the responses need to be typed into the opportunity. If the three questions were not asked then ignore this. </span></li></ul><p><span style=""color: rgb(0, 0, 0);""><img src=""/img/rte_broken_image.png"" alt=""This image is not available because: You don’t have the privileges to see it, or it has been removed from the system""></img></span></p><ul><li><span style=""color: rgb(0, 0, 0);"">If there are any hard copies of LOAs, make sure these have been scanned. The originals should be stored in the cabinet in case the provider rejects the scanned copy.</span></li></ul><p><b>For Arica &amp; Kristians acquisition clients only</b></p><ul><li><b>Send terms of business, go onto the person account for each client in the household and click the Send Terms button in the top right.</b></li></ul><p><br></p><p>Last updated: 26/10/2020</p>",,DISCOVERY_MEETING_WASHUP_LEGACY,,,,,,Discovery Meeting Washup,,
a1JQz00000HP1y9MAD,Create Baseline Voyant report & Partner Notes,a1J1t000000CCfREAW,,,,,,,,,Legacy unused Create baseline Voyant report & Partner notes,,,,,,,"<p>This task is triggered when a discovery fact find has been marked as completed in Salesforce </p><p>This will trigger: Create Discovery Lifeline </p><p><br></p><ul><li>Create a baseline by taking information from pre-meeting fact-find and add to Voyant, following the Voyant assumptions document: <a href=""https://docs.google.com/document/d/1SmO6u0ayIz7vBK1qhci8TcdxVAvEVfHLzit-WVzEh7s/edit"" target=""_blank"">https://docs.google.com/document/d/1SmO6u0ayIz7vBK1qhci8TcdxVAvEVfHLzit-WVzEh7s/edit</a></li><li>Complete ‘Base plan assumptions/planning opportunities/ additional notes’</li><li>Complete the field for ‘List of LOAs required (pre-meeting)’ using plans stated on the fact-find. Add the number of blanks required if policy providers have not been stated. </li><li>Mark complete.</li></ul><p><br></p><p><br></p>",,,,,,,,,,
a1JQz00000HP1yAMAT,Prepare LOAs,a1J1t000000CCzVEAW,,,,,,,,,Prepare_LOAs,,,,Inactive,,,"<ol><li>Generate LOAs listed by planner using LOA builder</li><li>Print LOAs required for meeting</li><li>Inform partner LOAs ready for meeting (hand to partner if meeting is the next day &amp; partner is in office, otherwise leave in client draw)</li><li>Create Financial Product/LOAs in Salesforce: Opportunity&gt;Related&gt;Financial Product - add in all required details here (You have to make a financial product in order to generate an LOA) (REMEMBER TO SELECT &#39;Create LOA&#39; BUTTON)</li><li>Once you have created the Financial Products LOAs should be visible in the LOAs section</li></ol>",,,,,,,,Prepare LOAs,,
a1JQz00000HP1yBMAT,Add full fact find info to IO & SF,a1J1t000000CDbjEAG,,Household team,,5,"Process Builder - Account Updated - Global
Node - Full Fact Find Complete",Medium,New customer,,Add_full_fact_find_info_to_IO_SF,No,22000,Data Gathering,Inactive,Add full fact find info to IO,6,"<p><strong>This task is triggered by:</strong></p><ul><li>PreciseFP Process: Full questionnaire being closed as complete.</li><li>OW profile: Profile status being moved to &#39;Up-to-date&#39;</li></ul><p><strong>This task will trigger: </strong>AML &amp; KYC task (as long as the fields DOB, Nationality and Country of residence have been filled out)</p><p><br></p><p><strong>This task is to add:</strong></p><ul><li><strong> T</strong>he information that we have collected about the client to our systems. (For PreciseFP process this is SF &amp; IO, for OW profile this is just IO)</li><li>Add client IO ID</li><li>Ensure all financial products/LOAs are linked to advice</li><li>Ensure that the AML check task has generated</li></ul><p><br></p><p><strong><u>Salesforce</u></strong></p><p><br></p><p>To be added to SF for Lead Client and Partner: (in bold are essential fields needed to be filled out)</p><ul><li>Personal Details<ul><li>Full account name, nickname &#39;known as&#39; name, marital status, <strong>birthdate</strong>, NI, <strong>Nationality </strong>and <strong>Country of residence.</strong></li></ul></li><li>Contact details<ul><li>Phone, mobile, preferred contact method, email, addresses</li></ul></li><li>Portal Access<ul><li>Intelligent Office ID - take this from IO as shown in the pic below</li></ul></li><li>Legals<ul><li>Wills, POA</li></ul></li><li>Ensure employment records (Household) are up to date</li><li>Know Your Customer<ul><li>DOB, Marital status, Occupation, KYC status and date, National Insurance No, Nationality, Residence, Domicile.</li></ul></li><li>Investment Objectives &amp; Risk <ul><li>Retirement target, DT risk score/Finametrica risk score (depending on when clients completed the questionnaire - it should be updated manually each time), Risk score date</li></ul></li><li>Children (Names, Ages) - these should be added as separate person accounts and added to the Household hierarchy (change them from &quot;client&quot; to &quot;dependent&quot;)</li><li>Check all Financial Products and LOAs are listed in SF</li><li>If there are additional Financial Products in FF then add to SF with LOAs at this stage</li></ul><p><strong>(If clients haven&#39;t provided DOB, Nationality or Country of residence then email the client asking for this information)</strong></p><p><br></p><p><strong><u>IO</u></strong></p><p><br></p><p>Add clients to IO with appropriate relationship</p><p>Assets &amp; Liabilities no longer need to be added to iO </p><p>Add all pre-existing plans, in force, with as much information as we have available at this point (they will be updated at the end of each LOA) - <strong>DO NOT </strong>add valuations as electronic unless we already have an accepted TOS in place with the provider for the plan, at FF stage valuations should always be manual</p><p>Add start dates/valuation dates as the date the FF was completed (should be the same date as the due date of this task)</p><p><br></p><p style=""text-align: center;""><a href=""https://docs.google.com/spreadsheets/d/1cUnD8UQS2JZj5mCt5fQCMXQ3-HASQgLH-pGVRGM8LY4/edit#gid=0"" target=""_blank"" style=""font-size: 16px;""><strong>IO user guides here</strong></a></p><p><br></p><p>IO ID:</p><p><img src=""/img/rte_broken_image.png"" alt=""This image is not available because: You don’t have the privileges to see it, or it has been removed from the system""></img></p><p>Check to see on the person account if an AML has been generated. This is found: person account &gt;&gt; related to &gt;&gt; AML Checks.</p><p><br></p><p>Last updated: 18/05/2021</p>",,add_full_fact_find_info_to_io_and_salesforce,Operations,Profile status being up-to-date,N/A,5,Admin,Add full fact find info to IO & SF,,
a1JQz00000HP1yCMAT,Calculate Risk Tolerance,a1J1t000000CDboEAG,,,,,,,,,Calculate_risk_tolerance,,,,Inactive,,,"<p>This task is triggered by: Factfind being marked complete.</p><p>This task will trigger: N/A</p><p><br></p><p>Check if on new Profile process. Household &gt; Profile Updates &gt; Profile Type should = Full. If they are on the new process speak with one of the planners about sending the client a PFP risk questionnaire.</p><p><br></p><p><b style=""font-size: 12px; color: rgb(0, 0, 0);"">IMPORTANT: </b></p><p><b>THIS TASK IS FOR BOTH CLIENT AND THEIR PARTNER (If there is a partner) so we need two reports. </b></p><p>(Partner&#39;s answers are just under the client&#39;s answers in the fact find. So first run a report for the client and then for the partner)</p><p><b style=""font-size: 12px; color: rgb(0, 0, 0);"">SAVE THE REPORTS IN THE ADVICE FOLDER (fact find and risk subfolder - please include the risk score in the PDF name) AND </b></p><p><b style=""font-size: 12px; color: rgb(0, 0, 0);"">ADD THE SCORE TO THE CLIENT&#39;S AND PARTNER&#39;S PROFILES IN SALESFORCE (Score and date of the questionnaire must be added) </b></p><p><b style=""font-size: 12px; color: rgb(0, 0, 0);"">ADD THE SCORE FOR BOTH CLIENT AND PARTNER TO THE RISK CALL SECTION ON THE ADVICE IN PROGRESS.</b></p><p><b style=""font-size: 12px; color: rgb(0, 0, 0);"">PASTE HERE AS WELL THE LINKS TO THE QUESTIONNAIRES (SAVED IN THE G DRIVE) </b></p><p><br></p><p><img src=""/img/rte_broken_image.png"" alt=""This image is not available because: You don’t have the privileges to see it, or it has been removed from the system""></img></p><p><br></p><p>FINAMETRICA GUIDE</p><p><br></p><p><a href=""https://www.finametrica.com/Advisors/AdvisorHome.aspx"" target=""_blank"" style=""font-size: 12px; font-family: Arial; color: rgb(17, 85, 204); background-color: transparent;""><u>https://www.finametrica.com/Advisors/AdvisorHome.aspx</u></a></p><p><br></p><p><span style=""font-size: 12px; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;"">Log in using Andrew’s details in Last Pass. </span></p><p><br></p><p><span style=""font-size: 12px; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;"">Select Add New Client and insert client first name &amp; surname. Use </span><a href=""mailto:amy@octopuswealth.com"" target=""_blank"" style=""font-size: 12px; font-family: Arial; color: rgb(17, 85, 204); background-color: transparent;""><u>amy@octopuswealth.com</u></a><span style=""font-size: 12px; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""> for the email address, click add. If couple, select:</span></p><p><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""><img src=""https://lh5.googleusercontent.com/Nl2I6d_u1NjWLgx3YcX6FVzPWHQjE9oc2ozOEcAXwV1YnwcuIdArApblKvFZB3gLrKHZox4JCO4XbzRzHtGnArHiFLbqg3HsuybP7AjIzpkz3-XUlJevkVWJRhoFMvwxkUJBm5E5""></img></span></p><p><br></p><p><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""><img src=""https://lh5.googleusercontent.com/2BkyHH1ztj7uZksdtRQNTlUj6syKhP4WVO_Fw8U8jD5olDmd_If4esOxFu9WyD9HT-0rJ2DIsZToKMuUmwj_z6xtqA_TD0EEC3czI570RI1ATBoqhyx1tP9pMNSW3n3Ma_YJ3TdW""></img></span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Make sure </span><b style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">“10 Question” is chosen </b><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">and </span><b style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">every box is unticked except for “Create Risk Questionnaire” </b><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">and </span><b style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">“Show Report after Completion,</b><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;""> click save &amp; close. </span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Select the <img src=""https://lh4.googleusercontent.com/_czpJMs3VbcYl2nC269k_Zn3HKn80yQwBebyl2TkKPb0jXDLsxWdyjDbnjEOnTgkgKtNKDc8mz8kSWg141ZptlPgMERAfTAH09dtWIKMUTLqnVKo_zkEUnjSSd6ZA0NkweN5pdAy""></img>button next to the client name: </span></p><p><br></p><p><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""><img src=""https://lh3.googleusercontent.com/r70sz261YYcR5wXqxtRMIzy9SXOk0WB0QCzNAlCpwCU9r3bny90YNN5BtjyOJZaB29dYMFJJTqBluod3O3cSrR3wvp7vUYCFqASGW51tNyAycJD9vJ1xmy8aRIAV4dwa6E1ymyOM""></img></span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Under Actions, click on the button titled ‘select’ then click </span><b style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">“Complete”</b><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;""> and input each answer from the fact find. At the end, select submit. </span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">You will receive this message:</span></p><p><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""> <img src=""https://lh4.googleusercontent.com/ASiUrHM2wHoTm9feF2AvgKTRuGurbSo-4Xt3OUi3YNWB06vhUYzwjF8irDEHUchSB4ey-84zskEQ0IWvX5eE50imDhrbEnqB_tdy4L-2QDbRgfrQ5QCEfDcITAXwPcqLRpVQI2lK""></img></span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Go back to “clients”, select the correct client, press on &quot;+&quot; under actions press &quot;select&quot; this will give you some options, pick &quot;view report&quot; </span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Go to &quot;Portfolio Gap Analysis and pick all portfolios (like below) - on the green you will see portfolios that are the most in line with the client score (take note of that and add to the risk call section under the advice as on the first picture in this guide. </span></p><p><br></p><p><img src=""/img/rte_broken_image.png"" alt=""This image is not available because: You don’t have the privileges to see it, or it has been removed from the system""></img></p><p><br></p><p>NOW &quot;Download Report and saved in the GDRIVE (as explained above): While saving PDF choose all options as below.</p><p><br></p><p style=""text-align: center;""><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent;""><img src=""https://lh3.googleusercontent.com/jRkOKHjBFhTYqqPILijoHhtYNresfCW4_anj1oWci7-zQSa6ULAqa0ZgLhyZdYx4UXNbvnowjl3FUiq2E1kPHR08UVYpSiJLIJtFdAg02xklbx7W5rNpAVvkZao0ApFv84bQQV7-""></img></span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">The PDF will generate giving a score</span><b style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;""> out of 100</b><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">. </span></p><p><br></p><p><span style=""font-size: 12px; color: rgb(0, 0, 0); background-color: transparent;"">Save to client Gdrive like normal and update result on Salesforce under “FinaMetrica risk score&#39; with the date.</span></p><p><br></p><p><br></p><p><span style=""color: rgb(62, 62, 60); background-color: rgb(255, 255, 255);"">Last updated: </span><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">16/06/2021</span></p>",,,,,,,,Calculate risk tolerance,,
a1JQz00000HP1yDMAT,Discuss Voyant & Notes with Head Planner (if required),a1J1t000000CDbtEAG,,,,,,,,,Discuss_Voyant_notes_with_partner,,,,Active,,,"<p><span style=""color: rgb(25, 19, 231);"">Last updated: 14/05/2019</span></p><p><br></p><ul><li>Challenge any of the assumptions previously made that do not make sense or are skewing the liquid assets/cash flow Voyant scenarios. </li><li>Update assumptions document accordingly.</li><li>Mark complete. </li></ul><p><br></p>",,,,,,,,Discuss Voyant & Notes with Head Planner,,
a1JQz00000HP1yEMAT,Create G-Drive Folder Structure,a1J1t000000CDbzEAG,,Household team,,1,Opportunity Updated - Opportunity: 'Partner Assigned - organic',High,New customer,,Create_G_Drive_Folder_Structure,No,1000,Lead Nurturing,Inactive,Create G-Drive Folder Structure,1,"<p>Task triggered by: Partner creating the opportunity.</p><p>Task will trigger: N/A</p><p><br></p><ul><li>Check the client folder doesn&#39;t already exist. Check the Partners Prospects folder to see if it is there. If so, mark task complete. (This is transitional for any old leads previously in PipeDrive but not in Salesforce).</li><li>Open the Gsheet – Client Drive / [Templates]/ 1. New Client Create Folders &amp; File Structure</li><li>Link to folder structure generator: <a href=""https://docs.google.com/spreadsheets/d/1vNiBkQuQClbIH9Zt-1-UjhPswQnFQOceJThVi7n9ZfU/edit#gid=611869785"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"">https://docs.google.com/spreadsheets/d/1vNiBkQuQClbIH9Zt-1-UjhPswQnFQOceJThVi7n9ZfU/edit#gid=611869785</a></li><li>Select Partner</li><li><span style=""color: rgb(0, 0, 0);"">Add Client First Name, Last Name, Partner Information and Discovery meeting date</span></li><li><span style=""color: rgb(0, 0, 0);"">RUN</span></li><li><span style=""color: rgb(0, 0, 0);"">Wait for the notification that this is done in the bottom right corner.</span></li><li><span style=""color: rgb(0, 0, 0);"">Open Partners prospect file and check that the folder has been created.</span></li><li><span style=""color: rgb(0, 0, 0);"">Add the link to the g-drive folder link field on the household, under &#39;details&#39; tab.</span></li><li><span style=""color: rgb(0, 0, 0);"">Mark complete. </span></li></ul><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Last updated: 29/06/2020</span></p>",,create_gdrive_folder_structure,Operations,"A partner becomes an owner of an opportunity, and the record type is not an acquisition client",None,1,Admin,Create G-Drive Folder Structure,,
a1JQz00000HP1yFMAT,Review Discovery Deck,a1J1t000000CDc8EAG,,Partner,Immediately,0,Flow - opportunity | after save,Medium,New customer,,Review_discovery_deck,No,,Discovery,Active,Review Discovery Deck,,"<ul><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Review WebApp and discuss any queries with the Discovery Deck Planner.</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Disable any slides that you do not want to present based on clients circumstance.</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Check fees and example portfolio sizes</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Check through assumptions to make sure you have everything you need</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Any feedback (additions/amendments) regarding the Discovery Deck to be raised.</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Understand and clarify the proposed planning opportunities and value proposition for this client.</span></li><li><span style=""color: rgb(0, 0, 0); background-color: transparent; font-family: Arial; font-size: 11pt;"">Mark complete. </span></li></ul>",https://docs.google.com/document/d/1xIjVNR1bdTyLzf25ioHATxB7ayyUFgQdw8z4qty73_8/edit,review_discovery_deck,Partners,Disco deck moved to partner review,,0,,Review discovery deck,,
a1JQz00000HP1yGMAT,Setup Advice,a1J1t000000CDcDEAW,,Queue,Immediate,1,Advice | create flow,High,Current Wealth Management Process,OW_planners,Setup_Advice,No,,Data Gathering,Active,Setup Advice,,"<p><span style=""font-size: 10.5pt; font-family: Roboto, sans-serif; background-color: transparent;"">Read the discovery meeting notes to determine the area/areas of advice that are being considered. In most new client cases, we&#39;ll be carrying out a &quot;full review&quot;. However, if the notes lead you to believe the advice will be focused, then this should be made clear (for example, if we are looking at IHT planning only or investment of business cash, etc) </span></p><p> </p><ol><li><span style=""font-size: 10.5pt; font-family: Roboto, sans-serif; background-color: transparent;"">Rename the ‘Search Name’ to the areas of advice. Naming format should include the client name as follows: &quot;Full review | Cockwell, S &amp; Gibbons, J&quot;</span></li><li>Update the opening narrative with a very high level summary of what we expect to cover, using the disco meeting notes as needed <em>(for example: Full review of existing savings, investments and pensions. Mr X would like to retire at 60 and wants to focus his savings towards this goal. We should also ensure we are looking at the investment of his surplus cash.)</em></li><li>Select an advice reason (this should be &quot;onboarding&quot; for new clients but you can use tax year end also where relevant)</li></ol><p><strike style=""font-size: 10.5pt; font-family: Roboto, sans-serif; background-color: transparent; color: rgb(201, 201, 201);"">On the advice details tab under “Setup” :</strike></p><ul><li><strike style=""color: rgb(201, 201, 201); font-size: 10.5pt; background-color: transparent;"">Add a link to G-Drive Advice Folder - this will be already created in the client&#39;s google drive and will likely have a default name of &quot;YYYY.MM.DD - Meeting or advice name&quot;. You do not need to update the advice folder name at this time.</strike></li><li><strike style=""font-size: 10.5pt; background-color: transparent; color: rgb(201, 201, 201);"">If the client&#39;s folder in the G-Drive is still under &quot;prospect&quot;, then move to clients.</strike></li></ul><p><span style=""font-size: 10.5pt; font-family: Roboto, sans-serif; background-color: transparent;"">Move advice case status to data gathering</span></p><p><br></p><p><span style=""font-size: 10.5pt; font-family: Roboto, sans-serif; background-color: transparent;"">Mark this task complete.</span></p><p> </p><p><span style=""font-size: 10pt; font-family: Roboto, sans-serif; color: rgb(62, 62, 60); background-color: transparent;"">Last updated: 03/08/2022</span></p>",https://docs.google.com/document/d/1ooeYjGI3eI5Wr_2H-k4afyQvpv-vEU3q8GNjnoUJaj4/edit,setup_advice,Planners,Terms of Business being accepted which creates the advice and triggers this task,,1,,Setup Advice,,
