DeveloperName__c,Id,LegacyFinancialProductRecordTypeId__c,Name,NovaId__c,ProductType__c,ProductType__r.DeveloperName__c,Provider__c,Provider__r.DeveloperName__c,ReferenceName__c,Sequence__c
JSIPP_HUBWISE,a2YQz000000sESbMAM,0124J000000d1BjQAI,Junior SIPP,,a2XQz000001I69iMAC,JSIPP,a26Qz000000MlQVIA0,NOVA,JSIPP_HUBWISE,500
SIPP_HUBWISE,a2YQz000000sEScMAM,0121t0000001eRHAAY,SIPP,,a2XQz000001I69jMAC,SIPP,a26Qz000000MlQVIA0,NOVA,SIPP_HUBWISE,300
SSISA_HUBWISE,a2YQz000000sESdMAM,0121t0000001eNHAAY,Stocks & Shares ISA,a2Y8e000000gCcsEAE,a2XQz000001I69gMAC,SSISA,a26Qz000000MlQVIA0,NOVA,SSISA_HUBWISE,200
JISA_HUBWISE,a2YQz000000sESeMAM,0121t0000001l9AAAQ,Junior ISA,a2Y8e000000gCcxEAE,a2XQz000001I69hMAC,JISA,a26Qz000000MlQVIA0,NOVA,JISA_HUBWISE,400
GIA_HUBWISE,a2YQz000000sESfMAM,0121t0000001ePeAAI,General Investment Account,a2Y8e000000gCd2EAE,a2XQz000001I69fMAC,GIA,a26Qz000000MlQVIA0,NOVA,GIA_HUBWISE,100
VCT_APOLLO_OI,a2YQz000000sESgMAM,0121t0000001eO9AAI,Apollo VCT,,a2XQz000001I69dMAC,VCT,a26Qz000000MlQUIA0,OCTOPUS_INVESTMENTS,VCT_APOLLO_OI,630
VCT_TITAN_OI,a2YQz000000sEShMAM,0121t0000001eO9AAI,Titan VCT,,a2XQz000001I69dMAC,VCT,a26Qz000000MlQUIA0,OCTOPUS_INVESTMENTS,VCT_TITAN_OI,620
KI_OI_EIS,a2YQz000000sESiMAM,0121t0000001eObAAI,Knowledge Intensive EIS,,a2XQz000001I69eMAC,EIS,a26Qz000000MlQUIA0,OCTOPUS_INVESTMENTS,KI_OI_EIS,10000
AIM_OI_VCT,a2YQz000000sESjMAM,0121t0000001eO9AAI,AIM VCT,,a2XQz000001I69dMAC,VCT,a26Qz000000MlQUIA0,OCTOPUS_INVESTMENTS,AIM_OI_VCT,640
FG_OI_VCT,a2YQz000000sESkMAM,0121t0000001eO9AAI,Future Generations VCT,,a2XQz000001I69dMAC,VCT,a26Qz000000MlQUIA0,OCTOPUS_INVESTMENTS,FG_OI_VCT,610
LV_SINGLE_LIFE_COVER,a2YQz000000sESlMAM,0121t0000001eUvAAI,LV Single life cover,,a2XQz000001I69kMAC,SINGLE_LIFE_COVER,a26Qz000000MlVQIA0,LV,LV_SINGLE_LIFE_COVER,100
LV_FIB,a2YQz000000sESmMAM,0124J000000cvmJQAQ,LV FIB,,a2XQz000001I69nMAC,FIB,a26Qz000000MlVQIA0,LV,LV_FIB,110
LV_RELEVANT_LIFE,a2YQz000000sESnMAM,012Sl0000003lgjIAA,LV Relevant life cover,,a2XQz000001I69mMAC,RELEVANT_LIFE,a26Qz000000MlVQIA0,LV,LV_RELEVANT_LIFE,140
