DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
ABBEY_LIFE,a26Qz000000MlOTIA0,Abbey Life,a264J000001QEVcQAO,false,false,false,false,
ABERDEEN_ASIA_INVESTMENTS,a26Qz000000MlOUIA0,Aberdeen Asia Investments,a264J000001QEVdQAO,false,false,false,false,
ABERDEEN_GLOBAL_SERVICES_SA,a26Qz000000MlOVIA0,Aberdeen Global Services S.A.,a264J000001QEVeQAO,false,false,false,false,
ABN_AMRO_CHANNEL_ISLANDS,a26Qz000000MlOWIA0,ABN AMRO (Channel Islands),a264J000001QEVfQAO,false,false,false,false,
ACCENTURE__WILLIS_TOWERS_WATSON,a26Qz000000MlOXIA0,Accenture - Willis Towers Watson,a264J000001QEVgQAO,false,false,false,false,
AEGON,a26Qz000000MlOYIA0,Aegon,a264J000001QEVhQAO,false,false,false,false,
AEGON_SCOTTISH_EQUITABLE,a26Qz000000MlOZIA0,Aegon (Scottish Equitable),a264J000001QEViQAO,false,false,false,false,
AIG_LIFE_LIMITED,a26Qz000000MlOaIAK,AIG Life Limited,a264J000001QEVjQAO,false,false,false,false,
AJ_BELL_INVESTCENTRE,a26Qz000000MlObIAK,AJ Bell Investcentre,a264J000001QEVkQAO,false,false,false,false,
AJ_BELL_PLATINUM,a26Qz000000MlOcIAK,AJ Bell Platinum,a264J000001QEVlQAO,false,false,false,false,
AJ_BELL_YOUINVEST,a26Qz000000MlOdIAK,AJ Bell Youinvest,a264J000001QEVmQAO,false,false,false,false,
ALBERT_E_SHARP,a26Qz000000MlOeIAK,Albert E Sharp,a264J000001QEVnQAO,false,false,false,false,
ALBION_CAPITAL,a26Qz000000MlOfIAK,Albion Capital,a264J000001QEVoQAO,false,false,false,false,
ALDERMORE_BANK,a26Qz000000MlOgIAK,Aldermore Bank,a264J000001QEVpQAO,false,false,false,false,
ALLIANCE_TRUST_SAVINGS,a26Qz000000MlOhIAK,Alliance Trust Savings,a264J000001QEVqQAO,false,false,false,false,
AON,a26Qz000000MlOiIAK,AON,a264J000001QEVrQAO,false,false,false,false,
ARUP_RPMI,a26Qz000000MlOjIAK,Arup (RPMI),a264J000001QEVsQAO,false,false,false,false,
ASCENTRIC,a26Qz000000MlOkIAK,Ascentric,a264J000001QEVtQAO,false,false,false,false,
ASSETZ_CAPITAL,a26Qz000000MlOlIAK,Assetz Capital,a264J000001QEVuQAO,false,false,false,false,
AVIVA,a26Qz000000MlOmIAK,Aviva,a264J000001QEVvQAO,false,false,false,true,AVIVA
AVIVA_FRIENDS_LIFE,a26Qz000000MlOnIAK,Aviva (Friends Life),a264J000001QEVwQAO,false,false,false,false,
AVIVA_MY_MONEY,a26Qz000000MlOoIAK,Aviva My Money,a264J000001QEVxQAO,false,false,false,false,
AXA,a26Qz000000MlOpIAK,AXA,a264J000001QEVyQAO,false,false,false,false,
BAA_EQUINITY,a26Qz000000MlOqIAK,BAA (Equinity),a264J000001QEVzQAO,false,false,false,false,
BANK_OF_CYPRUS,a26Qz000000MlOrIAK,Bank of Cyprus,a264J000001QEW0QAO,false,false,false,false,
BARCLAYS,a26Qz000000MlOsIAK,Barclays,a264J000001QEW1QAO,false,false,false,false,
BARCLAYS_SMART_INVESTOR,a26Qz000000MlOtIAK,Barclays Smart Investor,a264J000001QEW2QAO,false,false,false,false,
BARNETT_WADDINGHAM,a26Qz000000MlOuIAK,Barnett Waddingham,a264J000001QEW3QAO,false,false,false,false,
BEAGLE_STREET,a26Qz000000MlOvIAK,Beagle Street,a264J000001QEW4QAO,false,false,false,false,
BLACKROCK,a26Qz000000MlOwIAK,BlackRock,a264J000001QEW5QAO,false,false,false,false,
BMO_GLOBAL_ASSET_MANAGEMENT,a26Qz000000MlOxIAK,BMO Global Asset Management,a264J000001QEW6QAO,false,false,false,false,
BNP_PARIBAS,a26Qz000000MlOyIAK,BNP Paribas,a264J000001QEW7QAO,false,false,false,false,
BREWIN_DOLPHIN,a26Qz000000MlOzIAK,Brewin Dolphin,a264J000001QEW8QAO,false,false,false,false,
BRITISH_ARMY__AFPS,a26Qz000000MlP0IAK,British Army - AFPS,a264J000001QEW9QAO,false,false,false,false,
CANADA_LIFE,a26Qz000000MlP1IAK,Canada Life,a264J000001QEWAQA4,false,false,false,false,
CAPITA,a26Qz000000MlP2IAK,Capita,a264J000001QEWBQA4,false,false,false,false,
CAZENOVE_CAPITAL,a26Qz000000MlP3IAK,Cazenove Capital,a264J000001QEWCQA4,false,false,false,false,
CHARLES_SCHWAB_INTERNATIONAL,a26Qz000000MlP4IAK,Charles Schwab International,a264J000001QEWDQA4,false,false,false,false,
CHARLES_SCHWAB_UK,a26Qz000000MlP5IAK,Charles Schwab UK,a264J000001QEWEQA4,false,false,false,false,
CHARLES_STANLEY,a26Qz000000MlP6IAK,Charles Stanley,a264J000001QEWFQA4,false,false,false,false,
CHELSEA_BUILDING_SOCIETY,a26Qz000000MlP7IAK,Chelsea Building Society,a264J000001QEWGQA4,false,false,false,false,
CHILDRENS_ISA,a26Qz000000MlP8IAK,Children's ISA,a264J000001QEWHQA4,false,false,false,false,
CHURCH_HOUSE_INVESTMENTS,a26Qz000000MlP9IAK,Church House Investments,a264J000001QEWIQA4,false,false,false,false,
CITI_GROUP_WILLIS_TOWERS_WATSON,a26Qz000000MlPAIA0,Citi Group (Willis Towers Watson),a264J000001QEWJQA4,false,false,false,false,
CIVIL_SERVICE_PENSION,a26Qz000000MlPBIA0,Civil Service Pension,a264J000001QEWKQA4,false,false,false,false,
CLERICAL_MEDICAL,a26Qz000000MlPCIA0,Clerical Medical,a264J000001QEWLQA4,false,false,false,false,
COLUMBIA_THREADNEEDLE,a26Qz000000MlPDIA0,Columbia Threadneedle,a264J000001QEWMQA4,false,false,false,false,
COMET_PENSION_SCHEME_PS_ADMINISTRATION_LTD,a26Qz000000MlPEIA0,Comet Pension Scheme (PS Administration Ltd),a264J000001QEWNQA4,false,false,false,false,
COMPUTERSHARE,a26Qz000000MlPFIA0,Computershare,a264J000001QEWOQA4,false,false,false,false,
COUNTRYWIDE_ASSURED,a26Qz000000MlPGIA0,Countrywide Assured,a264J000001QEWPQA4,false,false,false,false,
COUPLAND_CARDIFF_ASSET_MANAGEMENT_LLP,a26Qz000000MlPHIA0,Coupland Cardiff Asset Management LLP,a264J000001QEWQQA4,false,false,false,false,
COVENTRY_BUILDING_SOCIETY,a26Qz000000MlPIIA0,Coventry Building Society,a264J000001QEWRQA4,false,false,false,false,
CREDIT_SUISSE,a26Qz000000MlPJIA0,Credit Suisse,a264J000001QEWSQA4,false,false,false,false,
CURTIS_BANKS,a26Qz000000MlPKIA0,Curtis Banks,a264J000001QEWTQA4,false,false,true,false,CB
CURTIS_BANKS_DUNDEE,a26Qz000000MlPLIA0,Curtis Banks (Dundee),a264J000001QEWUQA4,false,false,false,false,
DE_GIRO,a26Qz000000MlPMIA0,De Giro,a264J000001QEWVQA4,false,false,false,false,
EBS_PENSIONS_LIMITED,a26Qz000000MlPNIA0,EBS Pensions Limited,a264J000001QEWWQA4,false,false,false,false,
EQUINITI,a26Qz000000MlPOIA0,Equiniti,a264J000001QEWXQA4,false,false,false,false,
EQUINITI_HEWLETT_PACKARD,a26Qz000000MlPPIA0,Equiniti (Hewlett Packard),a264J000001QEWYQA4,false,false,false,false,
EQUINITI_SMITH__NEPHEW,a26Qz000000MlPQIA0,Equiniti Smith & Nephew,a264J000001QEWZQA4,false,false,false,false,
EQUIOM_GUERNSEY,a26Qz000000MlPRIA0,Equiom Guernsey,a264J000001QEWaQAO,false,false,false,false,
EQUITABLE_LIFE4,a26Qz000000MlPSIA0,Equitable Life,a264J000001QEWbQAO,false,false,false,false,
EQUITABLE_LIFE_WILLIS_TOWERS_WATSON,a26Qz000000MlPTIA0,Equitable Life (Willis Towers Watson),a264J000001QEWcQAO,false,false,false,false,
EUROPE_ARAB_BANK_JLT_BENEFITS_SOLUTIONS,a26Qz000000MlPUIA0,Europe Arab Bank (JLT Benefits Solutions),a264J000001QEWdQAO,false,false,false,false,
FIDELITY,a26Qz000000MlPVIA0,Fidelity,a264J000001QEWeQAO,false,false,false,false,
FIRST_DIRECT,a26Qz000000MlPWIA0,First Direct,a264J000001QEWfQAO,false,false,false,false,
FISHER_INVESTMENTS,a26Qz000000MlPXIA0,Fisher Investments,a264J000001QEWgQAO,false,false,false,false,
FORESIGHT,a26Qz000000MlPYIA0,Foresight,a264J000001QEWhQAO,false,false,false,false,
FORESTERS_FINANCIAL,a26Qz000000MlPZIA0,Foresters Financial,a264J000001QEWiQAO,false,false,false,false,
FRIENDS_PROVIDENT_INTERNATIONAL,a26Qz000000MlPaIAK,Friends Provident International,a264J000001QEWjQAO,false,false,false,false,
FUNDING_CIRCLE,a26Qz000000MlPbIAK,Funding Circle,a264J000001QEWkQAO,false,false,false,false,
FUND_PARTNERS,a26Qz000000MlPcIAK,Fund Partners,a264J000001QEWlQAO,false,false,false,false,
FUNDSMITH_LLP,a26Qz000000MlPdIAK,Fundsmith LLP,a264J000001QEWmQAO,false,false,false,false,
GATWICK_AIRPORT,a26Qz000000MlPeIAK,Gatwick Airport,a264J000001QEWnQAO,false,false,false,false,
GOLDMAN_SACHS_AON,a26Qz000000MlPfIAK,Goldman Sachs (Aon),a264J000001QEWoQAO,false,false,false,false,
GOLDMAN_SACHS_WILLIS_TOWERS_WATSON,a26Qz000000MlPgIAK,Goldman Sachs (Willis Towers Watson),a264J000001QEWpQAO,false,false,false,false,
