Active__c,Dependency__c,Description__c,DeveloperName__c,FrontPage__c,FulfilmentRecordType__c,HasAmount__c,HasDestination__c,HasFrequency__c,HasProduct__c,HasSource__c,Id,InvestmentMandate__c,Name,Name__c,NovaId__c,PaidBy__c,Phasing__c,ReferenceName__c,Sequence__c,TransferNotes__c,TransferType__c
true,Not Applicable,Use this to create any rebalances. You'll also be prompted to create any portfolio switches if these are relevant after the rebalances. You'll do this in bulk.,REBALANCE,true,0121t0000005vy5AAA,Not Applicable,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwrIAA,Optional,Rebalance,Rebalance,,Not Applicable,Not Applicable,REBALANCE,600,Not Applicable,Not Applicable
true,Not Applicable,Use this to recommend a portfolio switch for an existing product. You'll also e prompte dto rebalance any that are needed. You'll do this in bulk.,PORTFOLIO_SWITCH,true,0121t0000005vy5AAA,Not Applicable,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwsIAA,Required,Portfolio switch,Portfolio switch,,Not Applicable,Not Applicable,PORTFOLIO_SWITCH,700,Not Applicable,Not Applicable
true,Optional,Use this to recommend making a lump sum to either an existing or recommended product.,LUMP_SUM,true,0121t0000005vwnAAA,Required,Optional,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwtIAA,Not Applicable,Lump sum,Lump sum,,Required,Optional,LUMP_SUM,200,Not Applicable,Not Applicable
true,Not Applicable,"Use this to recommend any Bed&ISAs, Bed&JISAs, Bed&SIPPs, Bed&JSIPPs and internal GIA-GIA transfers. You'll do this in bulk.",INTERNAL_TRANSFER,true,0121t0000005vwxAAA,Required,Required,Not Applicable,Not Applicable,Required,a24Qz0000052dwuIAA,Not Applicable,Internal transfer,Internal transfer,,Not Applicable,Optional,INTERNAL_TRANSFER,400,Not Applicable,Required
true,Not Applicable,Use this to recommend opening a new product (including protection products). You'll do this one at a time.,OPEN_PRODUCT,true,0123L00000080qgQAA,Not Applicable,Not Applicable,Not Applicable,Required,Not Applicable,a24Qz0000052dwvIAA,Not Applicable,Open product,Open product,,Not Applicable,Not Applicable,OPEN_PRODUCT,100,Not Applicable,Not Applicable
true,Optional,Use this to recommend changing the amount of an existing regular. You'll do this one at a time.,CANCEL_EXISTING_REGULAR,false,0121t0000005vwsAAA,Not Applicable,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwwIAA,Not Applicable,Cancel existing regular,Cancel existing regular,,Not Applicable,Not Applicable,CANCEL_EXISTING_REGULAR,1000,Not Applicable,Not Applicable
true,Optional,Use this to recommend changing the amount of an existing regular. You'll do this one at a time.,CHANGE_EXISTING_REGULAR,false,0121t0000005vwsAAA,Optional,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwxIAA,Not Applicable,Change existing regular,Change existing regular,,Not Applicable,Not Applicable,CHANGE_EXISTING_REGULAR,900,Not Applicable,Not Applicable
true,Optional,Use this to recommend a transfer from an external product into an Octopus Wealth one. You'll do this one at a time.,EXTERNAL_TRANSFER_IN,true,0121t0000005vx7AAA,Required,Required,Not Applicable,Not Applicable,Required,a24Qz0000052dwyIAA,Not Applicable,External transfer in,External transfer in,,Required,Optional,EXTERNAL_TRANSFER_IN,300,Optional,Optional
true,Optional,"Use this to set up regulars to any Octopus ISA, JISA or GIA (including ones which are pending). You'll also be prompted to create recommendations to cancel regulars if required. You'll do this one at a time.",REGULAR,true,0121t0000005vwsAAA,Required,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dwzIAA,Not Applicable,Regular,Regular,,Required,Not Applicable,REGULAR,500,Not Applicable,Not Applicable
true,Not Applicable,"Use this to recommend that an external product is retained, and provide a reason for this. You'll do this one at a time.",RETAIN,false,N/A,Not Applicable,Required,Not Applicable,Not Applicable,Not Applicable,a24Qz0000052dx0IAA,Not Applicable,Retain,Retain,,Not Applicable,Not Applicable,RETAIN,800,Not Applicable,Not Applicable
