AdviceType__c,DeveloperName__c,Id,RecommendationType__c
TOP_UP,TOP_UP_LUMP_SUM,TOP_UP_LUMP_SUM,LUMP_SUM
TOP_UP,TOP_UP_REGULAR,TOP_UP_REGULAR,REGULAR
TOP_UP,TOP_UP_CHANGE_EXISTING_REGULAR,TOP_UP_CHANGE_EXISTING_REGULAR,CHANGE_EXISTING_REGULAR
WITHDRAWAL,WITHDRAWAL_LUMP_SUM,WITHDRAWAL_LUMP_SUM,LUMP_SUM_WITHDRAWAL
WITHDRAWAL,WITHDRAWAL_REGULAR,WITHDRAWAL_REGULAR,REGULAR_WITHDRAWAL
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CHANGE_REGULAR,ADVICE_REGULAR_AMENDMENT_CHANGE_REGULAR,CHANGE_EXISTING_REGULAR
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CANCEL_REGULAR,ADVICE_REGULAR_AMENDMENT_CANCEL_REGULAR,CANCEL_EXISTING_REGULAR
PROTECTION,PROTECTION_CANCEL_PROTECTION_POLICY,PROTECTION_CANCEL_PROTECTION_POLICY,CANCEL_PROTECTION
PROTECTION,PROTECTION_OPEN_PRODUCT,PROTECTION_OPEN_PRODUCT,OPEN_PRODUCT
PROTECTION,PROTECTION_TRUST,PROTECTION_TRUST,PROVIDER_TRUST
TOP_UP,TOP_UP_CANCEL_EXISTING_REGULAR,TOP_UP_CANCEL_EXISTING_REGULAR,CANCEL_EXISTING_REGULAR
TOP_UP,TOP_UP_INTERNAL_TRANSFER,TOP_UP_INTERNAL_TRANSFER,INTERNAL_TRANSFER
