AdviceType__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
TOP_UP,ADVICE_TOP_UP_SET_UP,ADVICE_TOP_UP_SET_UP,Top up | Set up,Prepare advice,1,True,Setup,ADVICE_TOP_UP_SET_UP
TOP_UP,ADVICE_TOP_UP_PREPARE,ADVICE_TOP_UP_PREPARE,Top up | Prepare,Present advice,5,True,Prepare advice,ADVICE_TOP_UP_ASSIGN
TOP_UP,ADVICE_TOP_UP_PRESENT,ADVICE_TOP_UP_PRESENT,Top up | Present,Await decision,1,True,Present advice,
TOP_UP,ADVICE_TOP_UP_AWAIT_DECISION,ADVICE_TOP_UP_AWAIT_DECISION,Top up | Await Decision,In fulfilment,5,True,Await decision,
TOP_UP,ADVICE_TOP_UP_COMPLETE,ADVICE_TOP_UP_COMPLETE,Top up | Complete,,,False,Complete,
TOP_UP,ADVICE_TOP_UP_DECLINED,ADVICE_TOP_UP_DECLINED,Top up | Suitability Declined,,,False,Suitability declined,
TOP_UP,ADVICE_TOP_UP_CANCELLED,ADVICE_TOP_UP_CANCELLED,Top up | Cancelled,,,False,Cancelled,
TOP_UP,ADVICE_TOP_UP_FULFILMENT,ADVICE_TOP_UP_FULFILMENT,Top up | In Fulfilment,Complete,10,True,In fulfilment,
WITHDRAWAL,ADVICE_WITHDRAWAL_PRESENT,ADVICE_WITHDRAWAL_PRESENT,Withdrawal | Present,Await decision,1,True,Present advice,
WITHDRAWAL,ADVICE_WITHDRAWAL_SET_UP,ADVICE_WITHDRAWAL_SET_UP,Withdrawal | Set up,Prepare advice,1,True,Setup,ADVICE_WITHDRAWAL_SET_UP
WITHDRAWAL,ADVICE_WITHDRAWAL_PREPARE,ADVICE_WITHDRAWAL_PREPARE,Withdrawal | Prepare,Present advice,5,True,Prepare advice,ADVICE_WITHDRAWAL_ASSIGN
WITHDRAWAL,ADVICE_WITHDRAWAL_AWAIT_DECISION,ADVICE_WITHDRAWAL_AWAIT_DECISION,Withdrawal | Await Decision,In fulfilment,5,True,Await decision,
WITHDRAWAL,ADVICE_WITHDRAWAL_FULFILMENT,ADVICE_WITHDRAWAL_FULFILMENT,Withdrawal | In Fulfilment,Complete,10,True,In fulfilment,
WITHDRAWAL,ADVICE_WITHDRAWAL_COMPLETE,ADVICE_WITHDRAWAL_COMPLETE,Withdrawal | Complete,,,False,Complete,
WITHDRAWAL,ADVICE_WITHDRAWAL_DECLINED,ADVICE_WITHDRAWAL_DECLINED,Withdrawal | Suitability Declined,,,False,Suitability declined,
WITHDRAWAL,ADVICE_WITHDRAWAL_CANCELLED,ADVICE_WITHDRAWAL_CANCELLED,Withdrawal | Cancelled,,,False,Cancelled,
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_SET_UP,ADVICE_REGULAR_AMENDMENT_SET_UP,Regular amendment | Set up,In fulfilment,1,True,Setup,ADVICE_REGULAR_AMENDMENT_ASSIGN
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_FULFILMENT,ADVICE_REGULAR_AMENDMENT_FULFILMENT,Regular amendment | In Fulfilment,Complete,10,True,In fulfilment,
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_COMPLETE,ADVICE_REGULAR_AMENDMENT_COMPLETE,Regular amendment | Complete,,,False,Complete,
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_DECLINED,ADVICE_REGULAR_AMENDMENT_DECLINED,Regular amendment | Suitability Declined,,,False,Suitability declined,
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CANCELLED,ADVICE_REGULAR_AMENDMENT_CANCELLED,Regular amendment | Cancelled,,,False,Cancelled,
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_PREPARE_ADVICE,ADVICE_REGULAR_AMENDMENT_PREPARE_ADVICE,Regular amendment | Prepare advice,Await decision,1,True,Prepare advice,ADVICE_REGULAR_AMENDMENT_ASSIGN
REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_AWAIT_DECISION,ADVICE_REGULAR_AMENDMENT_AWAIT_DECISION,Regular amendment | Await decision,In fulfilment,1,True,Await decision,
PROTECTION,ADVICE_PROTECTION_PRESENT,ADVICE_PROTECTION_PRESENT,Protection | Present,Await decision,1,True,Present advice,
PROTECTION,ADVICE_PROTECTION_SET_UP,ADVICE_PROTECTION_SET_UP,Protection | Set up,Prepare advice,1,True,Setup,ADVICE_PROTECTION_SET_UP
PROTECTION,ADVICE_PROTECTION_PREPARE,ADVICE_PROTECTION_PREPARE,Protection | Prepare,Present advice,5,True,Prepare advice,ADVICE_PROTECTION_ASSIGN
PROTECTION,ADVICE_PROTECTION_AWAIT_DECISION,ADVICE_PROTECTION_AWAIT_DECISION,Protection | Await Decision,In fulfilment,5,True,Await decision,
PROTECTION,ADVICE_PROTECTION_FULFILMENT,ADVICE_PROTECTION_FULFILMENT,Protection | In Fulfilment,Complete,10,True,In fulfilment,
PROTECTION,ADVICE_PROTECTION_COMPLETE,ADVICE_PROTECTION_COMPLETE,Protection | Complete,,,False,Complete,
PROTECTION,ADVICE_PROTECTION_DECLINED,ADVICE_PROTECTION_DECLINED,Protection | Suitability Declined,,,False,Suitability declined,
PROTECTION,ADVICE_PROTECTION_CANCELLED,ADVICE_PROTECTION_CANCELLED,Protection | Cancelled,,,False,Cancelled,
PROTECTION,ADVICE_PROTECTION_DATA_GATHERING,ADVICE_PROTECTION_DATA_GATHERING,Protection | Data gathering,Prepare advice,5,True,Data gathering,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_SET_UP,ADVICE_ANNUAL_REVIEW_ACCUMULATION_SET_UP,Annual Review | Accumulation | Set up,Prepare advice,1,True,Setup,ADVICE_ANNUAL_REVIEW_SET_UP
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_GATHERING,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_GATHERING,Annual Review | Accumulation | Data gathering,Data analysis,5,True,Data gathering,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,Annual Review | Accumulation | Prepare,Present advice,5,True,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,Annual Review | Accumulation | Present,Await decision,1,True,Present advice,
