CanBeHeldInAPension__c,CanBeHeldInTrust__c,CanProvideIncome__c,Category__c,DescriptionCustomer__c,DescriptionInternal__c,DeveloperName__c,DisplayInPortal__c,HasAnnualEarnings__c,HasAPurchaseValue__c,HasRelatedLiability__c,HasRetainedEarnings__c,Id,Name,NeedsFurtherDescription__c,SortOrder__c
Never,Mandatory,Ask if we need it,Property,,This is your main home that you live in most of the time,PRIMARY_RESIDENTIAL,Mandatory,Never,Optional,Optional,Never,PRIMARY_RESIDENTIAL,Primary Residential,Optional,
Never,Mandatory,Ask if we need it,Property,,This is any other property that you often live in,ADDITIONAL_RESIDENTIAL,Mandatory,Never,Optional,Optional,Never,ADDITIONAL_RESIDENTIAL,Additional Residential,Optional,
Never,Mandatory,Ask if we need it,Property,,"Any property which you own with the intention to make money with. Maybe you rent it out to others, or maybe you are holding it while it appreciates.",BUY_TO_LET_INVESTMENT,Mandatory,Never,Optional,Optional,Never,BUY_TO_LET_INVESTMENT,Buy to let/Investment,Optional,
Never,Mandatory,Ask if we need it,Property,,A property which you stay in for a small amount of time per year. You may or may not rent it out to others for the rest of the time,HOLIDAY_HOME,Mandatory,Never,Optional,Optional,Never,HOLIDAY_HOME,Holiday home,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"A collection of properties you own, all of which are commercial properties. If you have these, you'll know.",PORTFOLIO_COMMERCIAL,Mandatory,Never,Optional,Optional,Never,PORTFOLIO_COMMERCIAL,Portfolio - Commercial,Optional,
Never,,Ask if we need it,Property,,"A collection of properties that you own, of any type except commercial",PORTFOLIO_NON_COMMERCIAL,,,Optional,Optional,Never,PORTFOLIO_NON_COMMERCIAL,Portfolio - non commercial,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"Any land that you own, for example farmland, forestry or undeveloped plots",AGRICULTURAL_LAND,Mandatory,Never,Optional,Optional,Never,AGRICULTURAL_LAND,Agricultural & Land,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"A property used for commercial purposes. If you have this, you'll know.",COMMERCIAL,Mandatory,Never,Optional,Optional,Never,COMMERCIAL,Commercial,Optional,
Mandatory,Mandatory,Never,Business,,A privately owned company of which you own some or all of the shares,PRIVATE_LIMITED_COMPANY,Mandatory,Optional,Optional,Optional,Optional,PRIVATE_LIMITED_COMPANY,Private limited company,Optional,
Never,Never,Never,Business,,"A limited liability partnership which you are a member of with an entitlement to some or all of the profits. If you have this, you'll know/",LIMITED_LIABILITY_PARTNERSHIP,Mandatory,Never,Optional,Optional,Optional,LIMITED_LIABILITY_PARTNERSHIP,Limited liability partnership,Optional,
