AwaitReply__c,ClientsAddressed__c,CopyOtherClients__c,CustomPermission__c,Description__c,DeveloperName__c,From__c,Id,Name,Necessity__c,PartnerCopied__c,SendingProcess__c,Subject__c,Type__c
,All,,EmailOperations,Sent to clients fortnightly to summarise progress of fulfilment,NovaWealthFulfilmentUpdateRegular,team@novawm.com,NovaWealthFulfilmentUpdateRegular,Fulfilment Update Email Regular,Optional,Always,,,Service
,All,,EmailOperations,Sent to clients when fulfilment has been completed,NovaWealthFulfilmentUpdateFinal,team@novawm.com,NovaWealthFulfilmentUpdateFinal,Fulfilment Update Email Final,Optional,Always,,,Service
,All,,EmailOperations,Sent to clients when data gathering has been completed,NovaWealthLoaUpdateFinal,team@novawm.com,NovaWealthLoaUpdateFinal,LOA Update Email Final,Optional,Always,,,Service
,All,,EmailOperations,Sent fortnightly to clients to keep them updated on the progress of data gathering,NovaWealthLoaUpdateRegular,team@novawm.com,NovaWealthLoaUpdateRegular,LOA Update Email Regular,Optional,Always,,,Service
,All,,EmailOperations,The next steps email that is sent to clients after they accept our advice.,NovaWealthFulfilmentNextSteps,team@novawm.com,NovaWealthFulfilmentNextSteps,Next Steps,Required,Always,,,Service
,All,,EmailOperations,Sent to customers getting access to their onboarding advice documents via the portal for the 1st time.,PortalDocumentsAdviceOnboarding,amy@novawm.com,PortalDocumentsAdviceOnboarding,Portal Documents | Advice | Onboarding,Required,Always,,,Service
,All,,EmailOperations,Sent to customers when new document added with no client action required.,PortalDocumentsNewDocumentNoAction,amy@novawm.com,PortalDocumentsNewDocumentNoAction,Portal Documents | New document | No action,Required,Always,,,Service
,All,,EmailOperations,Sent to customers when new documents added as part of any advice after onboarding.,PortalDocumentsAdviceFollowOn,amy@novawm.com,PortalDocumentsAdviceFollowOn,Portal Documents | Advice | Follow on,Required,Always,,,Service
,All,,EmailOperations,Sent to customers who are getting migrated to portal documents as part of receiving advice.,PortalDocumentsMigratedAdvice,amy@novawm.com,PortalDocumentsMigratedAdvice,Portal Documents | Migrated | Advice,Required,Always,,,Service
,All,,EmailOperations,Sent to customers who are being migrated to portal docs ad-hoc.,PortalDocumentsMigratedAdHoc,amy@novawm.com,PortalDocumentsMigratedAdHoc,Portal Documents | Migrated | Ad-hoc,Required,Always,,,Service
No reply expected,All,,EmailOperations,,PreSendFFForPreAnnualReviewUpdate,amy@novawm.com,PreSendFFForPreAnnualReviewUpdate,Send FF for pre-annual review update,Required,Always,,,Service
No reply expected,All,,EmailOperations,,FFUpdatedThankYou,amy@novawm.com,FFUpdatedThankYou,FF updated thank you,Required,Always,,,Service
No reply expected,All,,EmailOperations,,ProviderComplaintOnBehalfOfClient,amy@novawm.com,ProviderComplaintOnBehalfOfClient,Provider complaint on behalf of client,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,UpdatePensionDetails,amy@novawm.com,UpdatePensionDetails,Update pension details,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,CancelExistingDirectDebits,amy@novawm.com,CancelExistingDirectDebits,Cancel existing direct debits,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ClientWithdrawalConfirmationRequest,amy@novawm.com,ClientWithdrawalConfirmationRequest,Client withdrawal confirmation request,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ConfirmationOfBedISA,amy@novawm.com,ConfirmationOfBedISA,Confirmation of Bed & ISA,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,RequestEmployerBankDetails,amy@novawm.com,RequestEmployerBankDetails,Request employer bank details,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,NewIsaGiaOffshoreBondSetUp,amy@novawm.com,NewIsaGiaOffshoreBondSetUp,New ISA/GIA/Offshore Bond set up,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,PensionTransferComplete,amy@novawm.com,PensionTransferComplete,Pension transfer complete,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,ClientBankDetailsChasing,amy@novawm.com,ClientBankDetailsChasing,Chasing client bank details,Optional,Always,,,Service
