AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2h8e000000CgDWAA0,Employer Lump sum SIPP,a2Y8e0000001VB2EAM,SIPP_HUBWISE,a248e000000c8eAAAQ,LUMP_SUM,,EMPLOYER_LUMP_SUM_SIPP,Not required,Employer lump sum to your NOVA SIPP
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2h8e000000CgDXAA0,Employer Regular SIPP,a2Y8e0000001VB2EAM,SIPP_HUBWISE,a248e000001xzBSAAY,REGULAR,,EMPLOYER_REGULAR_SIPP,Not required,Employer regular to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2h8e000000CgDYAA0,External transfer GIA,a2Y8e000000gCd2EAE,GIA_HUBWISE,a248e000001xzBOAAY,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_GIA,Required,{cedingprovider} GIA transfer
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2h8e000000CgDZAA0,External transfer ISA,a2Y8e000000gCcsEAE,SSISA_HUBWISE,a248e000001xzBOAAY,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_ISA,Required,{cedingprovider} ISA transfer
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2h8e000000CgDaAAK,External transfer Junior ISA,a2Y8e000000gCcxEAE,JISA_HUBWISE,a248e000001xzBOAAY,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_JUNIOR_ISA,Required,{cedingprovider} Junior ISA transfer
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,false,Not required,false,a2h8e000000CgDbAAK,External transfer Junior SIPP,a2Y8e0000001VB1EAM,JSIPP_HUBWISE,a248e000001xzBOAAY,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_JUNIOR_SIPP,Required,{cedingprovider} Junior SIPP transfer
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,false,Not required,false,a2h8e000000CgDcAAK,External transfer SIPP,a2Y8e0000001VB2EAM,SIPP_HUBWISE,a248e000001xzBOAAY,EXTERNAL_TRANSFER_IN,,EXTERNAL_TRANSFER_SIPP,Required,{cedingprovider} pension transfer
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,false,Not required,false,a2h8e000000CgDdAAK,Internal transfer GIA,a2Y8e000000gCd2EAE,GIA_HUBWISE,a248e000000c8vMAAQ,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_GIA,Not required,Internal transfer to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,false,Not required,false,a2h8e000000CgDeAAK,Internal transfer ISA,a2Y8e000000gCcsEAE,SSISA_HUBWISE,a248e000000c8vMAAQ,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,false,Not required,false,a2h8e000000CgDfAAK,Internal transfer Junior ISA,a2Y8e000000gCcxEAE,JISA_HUBWISE,a248e000000c8vMAAQ,INTERNAL_TRANSFER,,INTERNAL_TRANSFER_JUNIOR_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA Junior ISA
