DeveloperName__c,FulfilmentType__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
CANCEL_REGULAR_GIA_AWAITING_AD_HOC_ACTION,CANCEL_REGULAR_GIA,,CANCEL_REGULAR_GIA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Cancel regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_ISA_AWAITING_AD_HOC_ACTION,CANCEL_REGULAR_ISA,,CANCEL_REGULAR_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Cancel regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,CANCEL_REGULAR_SIPP,,CANCEL_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Cancel regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_GIA_AWAITING_AD_HOC_ACTION,CHANGE_TO_REGULAR_GIA,,CHANGE_TO_REGULAR_GIA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Change to regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_ISA_AWAITING_AD_HOC_ACTION,CHANGE_TO_REGULAR_ISA,,CHANGE_TO_REGULAR_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Change to regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CHANGE_TO_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,CHANGE_TO_REGULAR_SIPP,,CHANGE_TO_REGULAR_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Change to regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
EXTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,EXTERNAL_TRANSFER_ISA,,EXTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action External transfer ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
EXTERNAL_TRANSFER_SIPP_AWAITING_AD_HOC_ACTION,EXTERNAL_TRANSFER_SIPP,,EXTERNAL_TRANSFER_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action External transfer SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_GIA_AWAITING_AD_HOC_ACTION,INTERNAL_TRANSFER_GIA,,INTERNAL_TRANSFER_GIA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Internal transfer GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,INTERNAL_TRANSFER_ISA,,INTERNAL_TRANSFER_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Internal transfer ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
