DeveloperName__c,Id,LegacyFinancialProductRecordTypeId__c,Name,NovaId__c,ProductType__c,Provider__c,ReferenceName__c,Sequence__c
JSIPP_HUBWISE,JSIPP_HUBWISE,0124J000000d1BjQAI,Junior SIPP,,JSIPP,NOVA,JSIPP_HUBWISE,500
SIPP_HUBWISE,SIPP_HUBWISE,0121t0000001eRHAAY,SIPP,,SIPP,NOVA,SIPP_HUBWISE,300
SSISA_HUBWISE,SSISA_HUBWISE,0121t0000001eNHAAY,Stocks & Shares ISA,a2Y8e000000gCcsEAE,SSISA,NOVA,SSISA_HUBWISE,200
JISA_HUBWISE,JISA_HUBWISE,0121t0000001l9AAAQ,Junior ISA,a2Y8e000000gCcxEAE,JISA,NOVA,JISA_HUBWISE,400
GIA_HUBWISE,GIA_HUBWISE,0121t0000001ePeAAI,General Investment Account,a2Y8e000000gCd2EAE,GIA,NOVA,GIA_HUBWISE,100
VCT_APOLLO_OI,VCT_APOLLO_OI,0121t0000001eO9AAI,Apollo VCT,,VCT,OCTOPUS_INVESTMENTS,VCT_APOLLO_OI,630
VCT_TITAN_OI,VCT_TITAN_OI,0121t0000001eO9AAI,Titan VCT,,VCT,OCTOPUS_INVESTMENTS,VCT_TITAN_OI,620
KI_OI_EIS,KI_OI_EIS,0121t0000001eObAAI,Knowledge Intensive EIS,,EIS,OCTOPUS_INVESTMENTS,KI_OI_EIS,10000
AIM_OI_VCT,AIM_OI_VCT,0121t0000001eO9AAI,AIM VCT,,VCT,OCTOPUS_INVESTMENTS,AIM_OI_VCT,640
FG_OI_VCT,FG_OI_VCT,0121t0000001eO9AAI,Future Generations VCT,,VCT,OCTOPUS_INVESTMENTS,FG_OI_VCT,610
LV_SINGLE_LIFE_COVER,LV_SINGLE_LIFE_COVER,0121t0000001eUvAAI,LV Single life cover,,SINGLE_LIFE_COVER,LV,LV_SINGLE_LIFE_COVER,100
LV_FIB,LV_FIB,0124J000000cvmJQAQ,LV FIB,,FIB,LV,LV_FIB,110
LV_RELEVANT_LIFE,LV_RELEVANT_LIFE,012Sl0000003lgjIAA,LV Relevant life cover,,RELEVANT_LIFE,LV,LV_RELEVANT_LIFE,140
LV_INCOME_PROTECTION,LV_INCOME_PROTECTION,0121t0000001eUZAAY,LV Income protection,,INCOME_PROTECTION,LV,LV_INCOME_PROTECTION,120
LV_LIFE_CIC,LV_LIFE_CIC,0121t0000001eU7AAI,LV Life & CIC,,LIFE_CIC,LV,LV_LIFE_CIC,130
AIG_SINGLE_LIFE_COVER,AIG_SINGLE_LIFE_COVER,0121t0000001eUvAAI,AIG Single life cover,,SINGLE_LIFE_COVER,AIG,AIG_SINGLE_LIFE_COVER,200
AIG_FIB,AIG_FIB,0124J000000cvmJQAQ,AIG FIB,,FIB,AIG,AIG_FIB,220
AIG_RELEVANT_LIFE,AIG_RELEVANT_LIFE,012Sl0000003lgjIAA,AIG Relevant life cover,,RELEVANT_LIFE,AIG,AIG_RELEVANT_LIFE,240
AIG_INCOME_PROTECTION,AIG_INCOME_PROTECTION,0121t0000001eUZAAY,AIG Income protection,,INCOME_PROTECTION,AIG,AIG_INCOME_PROTECTION,210
AIG_LIFE_CIC,AIG_LIFE_CIC,0121t0000001eU7AAI,AIG Life & CIC,,LIFE_CIC,AIG,AIG_LIFE_CIC,230
AVIVA_SINGLE_LIFE_COVER,AVIVA_SINGLE_LIFE_COVER,0121t0000001eUvAAI,Aviva Single life cover,,SINGLE_LIFE_COVER,AVIVA,AVIVA_SINGLE_LIFE_COVER,300
AVIVA_FIB,AVIVA_FIB,0124J000000cvmJQAQ,Aviva FIB,,FIB,AVIVA,AVIVA_FIB,320
AVIVA_RELEVANT_LIFE_COVER,AVIVA_RELEVANT_LIFE_COVER,012Sl0000003lgjIAA,Aviva Relevant life cover,,RELEVANT_LIFE,AVIVA,AVIVA_RELEVANT_LIFE_COVER,340
AVIVA_INCOME_PROTECTION,AVIVA_INCOME_PROTECTION,0121t0000001eUZAAY,Aviva Income protection,,INCOME_PROTECTION,AVIVA,AVIVA_INCOME_PROTECTION,310
AVIVA_LIFE_&_CIC,AVIVA_LIFE_&_CIC,0121t0000001eU7AAI,Aviva Life & CIC,,LIFE_CIC,AVIVA,AVIVA_LIFE_&_CIC,330
ROYAL_LONDON_SINGLE_LIFE_COVER,ROYAL_LONDON_SINGLE_LIFE_COVER,0121t0000001eUvAAI,Royal London Single life cover,,SINGLE_LIFE_COVER,ROYAL_LONDON,ROYAL_LONDON_SINGLE_LIFE_COVER,400
ROYAL_LONDON_FIB,ROYAL_LONDON_FIB,0124J000000cvmJQAQ,Royal London FIB,,FIB,ROYAL_LONDON,ROYAL_LONDON_FIB,420
ROYAL_LONDON_RELEVANT_LIFE_COVER,ROYAL_LONDON_RELEVANT_LIFE_COVER,012Sl0000003lgjIAA,Royal London Relevant life cover,,RELEVANT_LIFE,ROYAL_LONDON,ROYAL_LONDON_RELEVANT_LIFE_COVER,440
ROYAL_LONDON_INCOME_PROTECTION,ROYAL_LONDON_INCOME_PROTECTION,0121t0000001eUZAAY,Royal London Income protection,,INCOME_PROTECTION,ROYAL_LONDON,ROYAL_LONDON_INCOME_PROTECTION,410
