Id,LegacyFinancialProductRecordTypeId__c,Name,ProductType__c,Provider__c,ReferenceName__c,Sequence__c
JSIPP_HUBWISE,0124J000000d1BjQAI,Junior SIPP,JSIPP,NOVA,JSIPP_HUBWISE,500
SIPP_HUBWISE,0121t0000001eRHAAY,SIPP,SIPP,NOVA,SIPP_HUBWISE,300
SSISA_HUBWISE,0121t0000001eNHAAY,Stocks & Shares ISA,SSISA,NOVA,SSISA_HUBWISE,200
JISA_HUBWISE,0121t0000001l9AAAQ,Junior ISA,JISA,NOVA,JISA_HUBWISE,400
GIA_HUBWISE,0121t0000001ePeAAI,General Investment Account,GIA,NOVA,GIA_HUBWISE,100
VCT_APOLLO_OI,0121t0000001eO9AAI,Apollo VCT,VCT,OI,VCT_APOLLO_OI,630
VCT_TITAN_OI,0121t0000001eO9AAI,Titan VCT,VCT,OI,VCT_TITAN_OI,620
KI_OI_EIS,0121t0000001eObAAI,Knowledge Intensive EIS,EIS,OI,KI_OI_EIS,10000
AIM_OI_VCT,0121t0000001eO9AAI,AIM VCT,VCT,OI,AIM_OI_VCT,640
FG_OI_VCT,0121t0000001eO9AAI,Future Generations VCT,VCT,OI,FG_OI_VCT,610
LV_SINGLE_LIFE_COVER,0121t0000001eUvAAI,LV Single life cover,SINGLE_LIFE_COVER,LV,LV_SINGLE_LIFE_COVER,100
LV_FIB,0124J000000cvmJQAQ,LV FIB,FIB,LV,LV_FIB,110
LV_RELEVANT_LIFE,012Sl0000003lgjIAA,LV Relevant life cover,RELEVANT_LIFE,LV,LV_RELEVANT_LIFE,140
LV_INCOME_PROTECTION,0121t0000001eUZAAY,LV Income protection,INCOME_PROTECTION,LV,LV_INCOME_PROTECTION,120
LV_LIFE_CIC,0121t0000001eU7AAI,LV Life & CIC,LIFE_CIC,LV,LV_LIFE_CIC,130
AIG_SINGLE_LIFE_COVER,0121t0000001eUvAAI,AIG Single life cover,SINGLE_LIFE_COVER,AIG,AIG_SINGLE_LIFE_COVER,200
AIG_FIB,0124J000000cvmJQAQ,AIG FIB,FIB,AIG,AIG_FIB,220
AIG_RELEVANT_LIFE,012Sl0000003lgjIAA,AIG Relevant life cover,RELEVANT_LIFE,AIG,AIG_RELEVANT_LIFE,240
AIG_INCOME_PROTECTION,0121t0000001eUZAAY,AIG Income protection,INCOME_PROTECTION,AIG,AIG_INCOME_PROTECTION,210
AIG_LIFE_CIC,0121t0000001eU7AAI,AIG Life & CIC,LIFE_CIC,AIG,AIG_LIFE_CIC,230
