Id,Name,OW_group_company__c,OW_own_company__c,ReferenceName__c
Accenture,Accenture,FALSE,FALSE,Accenture
AIG,AIG,FALSE,FALSE,AIG
Alliance_Bernstein,Alliance Bernstein,FALSE,FALSE,Alliance_Bernstein
CIBC,CIBC,FALSE,FALSE,CIBC
GPIMLtd,GPIM Limited,FALSE,FALSE,GPIMLtd
LinkGroup,Link Group,FALSE,FALSE,LinkGroup
LV,LV,FALSE,FALSE,LV
NOVA,NOVA Wealth,FALSE,TRUE,NOVA
OI,Octopus Investments,TRUE,FALSE,OI
PlaneSaverCreditUnion,Plane Saver Credit Union,FALSE,FALSE,PlaneSaverCreditUnion
SEIMasterTrust,SEI Master Trust,FALSE,FALSE,SEIMasterTrust
TD_Canada_Trust,TD Canada Trust,FALSE,FALSE,TD_Canada_Trust
