DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
ABBEY_LIFE,ABBEY_LIFE,Abbey Life,a264J000001QEVcQAO,False,False,False,False,
ABERDEEN_ASIA_INVESTMENTS,ABERDEEN_ASIA_INVESTMENTS,Aberdeen Asia Investments,a264J000001QEVdQAO,False,False,False,False,
ABERDEEN_GLOBAL_SERVICES_SA,ABERDEEN_GLOBAL_SERVICES_SA,Aberdeen Global Services S.A.,a264J000001QEVeQAO,False,False,False,False,
ABN_AMRO_CHANNEL_ISLANDS,ABN_AMRO_CHANNEL_ISLANDS,ABN AMRO (Channel Islands),a264J000001QEVfQAO,False,False,False,False,
ACCENTURE__WILLIS_TOWERS_WATSON,ACCENTURE__WILLIS_TOWERS_WATSON,Accenture - Willis Towers Watson,a264J000001QEVgQAO,False,False,False,False,
AEGON,AEGON,Aegon,a264J000001QEVhQAO,False,False,False,False,
AEGON_SCOTTISH_EQUITABLE,AEGON_SCOTTISH_EQUITABLE,Aegon (Scottish Equitable),a264J000001QEViQAO,False,False,False,False,
AIG_LIFE_LIMITED,AIG_LIFE_LIMITED,AIG Life Limited,a264J000001QEVjQAO,False,False,False,False,
AJ_BELL_INVESTCENTRE,AJ_BELL_INVESTCENTRE,AJ Bell Investcentre,a264J000001QEVkQAO,False,False,False,False,
AJ_BELL_PLATINUM,AJ_BELL_PLATINUM,AJ Bell Platinum,a264J000001QEVlQAO,False,False,False,False,
AJ_BELL_YOUINVEST,AJ_BELL_YOUINVEST,AJ Bell Youinvest,a264J000001QEVmQAO,False,False,False,False,
ALBERT_E_SHARP,ALBERT_E_SHARP,Albert E Sharp,a264J000001QEVnQAO,False,False,False,False,
ALBION_CAPITAL,ALBION_CAPITAL,Albion Capital,a264J000001QEVoQAO,False,False,False,False,
ALDERMORE_BANK,ALDERMORE_BANK,Aldermore Bank,a264J000001QEVpQAO,False,False,False,False,
ALLIANCE_TRUST_SAVINGS,ALLIANCE_TRUST_SAVINGS,Alliance Trust Savings,a264J000001QEVqQAO,False,False,False,False,
AON,AON,AON,a264J000001QEVrQAO,False,False,False,False,
ARUP_RPMI,ARUP_RPMI,Arup (RPMI),a264J000001QEVsQAO,False,False,False,False,
ASCENTRIC,ASCENTRIC,Ascentric,a264J000001QEVtQAO,False,False,False,False,
ASSETZ_CAPITAL,ASSETZ_CAPITAL,Assetz Capital,a264J000001QEVuQAO,False,False,False,False,
AVIVA,AVIVA,Aviva,a264J000001QEVvQAO,False,False,False,True,AVIVA
AVIVA_FRIENDS_LIFE,AVIVA_FRIENDS_LIFE,Aviva (Friends Life),a264J000001QEVwQAO,False,False,False,False,
AVIVA_MY_MONEY,AVIVA_MY_MONEY,Aviva My Money,a264J000001QEVxQAO,False,False,False,False,
AXA,AXA,AXA,a264J000001QEVyQAO,False,False,False,False,
BAA_EQUINITY,BAA_EQUINITY,BAA (Equinity),a264J000001QEVzQAO,False,False,False,False,
BANK_OF_CYPRUS,BANK_OF_CYPRUS,Bank of Cyprus,a264J000001QEW0QAO,False,False,False,False,
BARCLAYS,BARCLAYS,Barclays,a264J000001QEW1QAO,False,False,False,False,
BARCLAYS_SMART_INVESTOR,BARCLAYS_SMART_INVESTOR,Barclays Smart Investor,a264J000001QEW2QAO,False,False,False,False,
BARNETT_WADDINGHAM,BARNETT_WADDINGHAM,Barnett Waddingham,a264J000001QEW3QAO,False,False,False,False,
BEAGLE_STREET,BEAGLE_STREET,Beagle Street,a264J000001QEW4QAO,False,False,False,False,
BLACKROCK,BLACKROCK,BlackRock,a264J000001QEW5QAO,False,False,False,False,
BMO_GLOBAL_ASSET_MANAGEMENT,BMO_GLOBAL_ASSET_MANAGEMENT,BMO Global Asset Management,a264J000001QEW6QAO,False,False,False,False,
BNP_PARIBAS,BNP_PARIBAS,BNP Paribas,a264J000001QEW7QAO,False,False,False,False,
BREWIN_DOLPHIN,BREWIN_DOLPHIN,Brewin Dolphin,a264J000001QEW8QAO,False,False,False,False,
BRITISH_ARMY__AFPS,BRITISH_ARMY__AFPS,British Army - AFPS,a264J000001QEW9QAO,False,False,False,False,
CANADA_LIFE,CANADA_LIFE,Canada Life,a264J000001QEWAQA4,False,False,False,False,
CAPITA,CAPITA,Capita,a264J000001QEWBQA4,False,False,False,False,
CAZENOVE_CAPITAL,CAZENOVE_CAPITAL,Cazenove Capital,a264J000001QEWCQA4,False,False,False,False,
CHARLES_SCHWAB_INTERNATIONAL,CHARLES_SCHWAB_INTERNATIONAL,Charles Schwab International,a264J000001QEWDQA4,False,False,False,False,
CHARLES_SCHWAB_UK,CHARLES_SCHWAB_UK,Charles Schwab UK,a264J000001QEWEQA4,False,False,False,False,
CHARLES_STANLEY,CHARLES_STANLEY,Charles Stanley,a264J000001QEWFQA4,False,False,False,False,
CHELSEA_BUILDING_SOCIETY,CHELSEA_BUILDING_SOCIETY,Chelsea Building Society,a264J000001QEWGQA4,False,False,False,False,
CHILDRENS_ISA,CHILDRENS_ISA,Children's ISA,a264J000001QEWHQA4,False,False,False,False,
CHURCH_HOUSE_INVESTMENTS,CHURCH_HOUSE_INVESTMENTS,Church House Investments,a264J000001QEWIQA4,False,False,False,False,
CITI_GROUP_WILLIS_TOWERS_WATSON,CITI_GROUP_WILLIS_TOWERS_WATSON,Citi Group (Willis Towers Watson),a264J000001QEWJQA4,False,False,False,False,
CIVIL_SERVICE_PENSION,CIVIL_SERVICE_PENSION,Civil Service Pension,a264J000001QEWKQA4,False,False,False,False,
CLERICAL_MEDICAL,CLERICAL_MEDICAL,Clerical Medical,a264J000001QEWLQA4,False,False,False,False,
COLUMBIA_THREADNEEDLE,COLUMBIA_THREADNEEDLE,Columbia Threadneedle,a264J000001QEWMQA4,False,False,False,False,
